alert_id,entity_id,asset_id,timestamp,severity,category,source,confidence,status,description
E001-A0001,E001,E001-AS015,2026-08-01 16:56:55,MEDIUM,PHISHING,EMAIL_SECURITY,0.77,CLOSED,Phishing email delivered to employee
E001-A0002,E001,E001-AS010,2026-08-02 11:55:03,LOW,MALWARE,IAM,0.68,CLOSED,Potential malicious executable detected
E001-A0003,E001,E001-AS008,2026-08-02 12:54:59,LOW,SUSPICIOUS_LOGIN,IAM,0.59,CLOSED,Multiple suspicious login attempts
E001-A0004,E001,E001-AS027,2026-08-02 14:09:25,MEDIUM,SUSPICIOUS_LOGIN,IDS,0.58,CLOSED,Multiple suspicious login attempts
E001-A0005,E001,E001-AS020,2026-08-02 20:01:41,MEDIUM,BRUTE_FORCE,IDS,0.61,CLOSED,Repeated failed login attempts detected
E001-A0006,E001,E001-AS010,2026-08-02 20:52:20,CRITICAL,DATA_EXFILTRATION,FIREWALL,0.91,CLOSED,Unusual outbound data transfer detected
E001-A0007,E001,E001-AS013,2026-08-03 00:45:18,LOW,DATA_EXFILTRATION,IAM,0.56,CLOSED,Unusual outbound data transfer detected
E001-A0008,E001,E001-AS021,2026-08-03 04:54:14,LOW,MALWARE,EMAIL_SECURITY,0.64,CLOSED,Potential malicious executable detected
E001-A0009,E001,E001-AS004,2026-08-03 05:50:56,MEDIUM,DATA_EXFILTRATION,IAM,0.64,CLOSED,Unusual outbound data transfer detected
E001-A0010,E001,E001-AS005,2026-08-03 06:44:02,HIGH,BRUTE_FORCE,EDR,0.77,CLOSED,Repeated failed login attempts detected
E001-A0011,E001,E001-AS012,2026-08-03 08:37:24,MEDIUM,SUSPICIOUS_LOGIN,IDS,0.73,CLOSED,Multiple suspicious login attempts
E001-A0012,E001,E001-AS018,2026-08-03 09:21:53,HIGH,DATA_EXFILTRATION,IDS,0.7,CLOSED,Unusual outbound data transfer detected
E001-A0013,E001,E001-AS018,2026-08-03 11:01:46,LOW,RANSOMWARE,IDS,0.69,CLOSED,Ransomware activity detected
E001-A0014,E001,E001-AS001,2026-08-03 15:08:26,HIGH,SUSPICIOUS_LOGIN,EMAIL_SECURITY,0.9,CLOSED,Multiple suspicious login attempts
E001-A0015,E001,E001-AS001,2026-08-03 18:41:02,LOW,PRIVILEGE_ESCALATION,IAM,0.7,CLOSED,Unusual privilege escalation attempt detected
E001-A0016,E001,E001-AS014,2026-08-03 21:06:50,MEDIUM,BRUTE_FORCE,EMAIL_SECURITY,0.72,CLOSED,Repeated failed login attempts detected
E001-A0017,E001,E001-AS003,2026-08-04 02:35:34,LOW,PRIVILEGE_ESCALATION,EMAIL_SECURITY,0.51,CLOSED,Unusual privilege escalation attempt detected
E001-A0018,E001,E001-AS014,2026-08-04 04:10:24,MEDIUM,PHISHING,IAM,0.7,CLOSED,Phishing email delivered to employee
E001-A0019,E001,E001-AS009,2026-08-04 14:08:51,LOW,RANSOMWARE,IDS,0.67,CLOSED,Ransomware activity detected
E001-A0020,E001,E001-AS003,2026-08-04 14:38:18,HIGH,PRIVILEGE_ESCALATION,FIREWALL,0.92,CLOSED,Unusual privilege escalation attempt detected
E001-A0021,E001,E001-AS009,2026-08-04 17:11:23,LOW,PRIVILEGE_ESCALATION,EMAIL_SECURITY,0.6,CLOSED,Unusual privilege escalation attempt detected
E001-A0022,E001,E001-AS009,2026-08-04 17:11:54,LOW,DATA_EXFILTRATION,EDR,0.46,CLOSED,Unusual outbound data transfer detected
E001-A0023,E001,E001-AS005,2026-08-04 21:10:52,CRITICAL,PRIVILEGE_ESCALATION,EDR,0.89,CLOSED,Unusual privilege escalation attempt detected
E001-A0024,E001,E001-AS022,2026-08-05 02:57:51,LOW,RANSOMWARE,IDS,0.66,CLOSED,Ransomware activity detected
E001-A0025,E001,E001-AS019,2026-08-05 05:31:03,MEDIUM,SUSPICIOUS_LOGIN,SIEM,0.65,CLOSED,Multiple suspicious login attempts
E001-A0026,E001,E001-AS025,2026-08-05 18:03:24,LOW,PHISHING,SIEM,0.54,CLOSED,Phishing email delivered to employee
E001-A0027,E001,E001-AS001,2026-08-05 18:35:47,LOW,SUSPICIOUS_LOGIN,FIREWALL,0.51,CLOSED,Multiple suspicious login attempts
E001-A0028,E001,E001-AS018,2026-08-05 18:39:32,MEDIUM,DATA_EXFILTRATION,SIEM,0.78,CLOSED,Unusual outbound data transfer detected
