case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
E001-C0001,E001-A0001,E001,AN03,2026-08-01 17:01:55,2026-08-01 18:09:55,CLOSED,TRUE_POSITIVE,Account compromise confirmed and access revoked
E001-C0002,E001-A0005,E001,AN02,2026-08-02 20:10:41,2026-08-02 21:14:41,CLOSED,FALSE_POSITIVE,False positive - monitoring threshold too sensitive
E001-C0003,E001-A0006,E001,AN08,2026-08-02 20:53:20,2026-08-02 23:32:20,CLOSED,TRUE_POSITIVE,Malicious activity confirmed and remediated
E001-C0004,E001-A0009,E001,AN06,2026-08-03 05:53:56,2026-08-03 07:06:56,CLOSED,TRUE_POSITIVE,Account compromise confirmed and access revoked
E001-C0005,E001-A0010,E001,AN08,2026-08-03 06:55:02,2026-08-03 07:47:02,CLOSED,FALSE_POSITIVE,Benign administrative activity
E001-C0006,E001-A0012,E001,AN05,2026-08-03 09:30:53,2026-08-03 11:47:53,CLOSED,TRUE_POSITIVE,Account compromise confirmed and access revoked
E001-C0007,E001-A0014,E001,AN06,2026-08-03 15:15:26,2026-08-03 17:13:26,CLOSED,TRUE_POSITIVE,Threat contained
E001-C0008,E001-A0018,E001,AN07,2026-08-04 04:12:24,2026-08-04 05:26:24,CLOSED,TRUE_POSITIVE,Threat contained
E001-C0009,E001-A0023,E001,AN05,2026-08-04 21:18:52,2026-08-05 00:12:52,CLOSED,TRUE_POSITIVE,Malicious activity confirmed and remediated
E001-C0010,E001-A0025,E001,AN01,2026-08-05 05:33:03,2026-08-05 06:56:03,CLOSED,FALSE_POSITIVE,False positive - monitoring threshold too sensitive
E001-C0011,E001-A0029,E001,AN08,2026-08-05 22:56:57,2026-08-05 23:35:57,CLOSED,FALSE_POSITIVE,Benign administrative activity
E001-C0012,E001-A0030,E001,AN01,2026-08-06 02:39:11,2026-08-06 05:37:11,CLOSED,TRUE_POSITIVE,Threat contained
