escalation_id,case_id,escalated,escalation_level,escalated_at,escalated_to,reason
E001-ESC0002,E001-C0002,false,,,,
E001-ESC0005,E001-C0005,true,L2,2026-08-03 07:12:02,SOC_L3,HIGH BRUTE_FORCE alert requiring senior review
E001-ESC0006,E001-C0006,true,L3,2026-08-03 09:56:53,SOC_L2,HIGH DATA_EXFILTRATION alert requiring senior review
E001-ESC0007,E001-C0007,true,L3,2026-08-03 15:53:26,SOC_L2,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0009,E001-C0009,true,L3,2026-08-04 22:02:52,SOC_L3,CRITICAL PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0010,E001-C0010,false,,,,
E001-ESC0012,E001-C0012,true,L3,2026-08-06 03:09:11,CISO_OFFICE,CRITICAL PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0013,E001-C0013,false,,,,
E001-ESC0014,E001-C0014,true,L2,2026-08-06 14:03:27,CISO_OFFICE,CRITICAL PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0016,E001-C0016,true,L3,2026-08-07 09:22:29,CISO_OFFICE,CRITICAL RANSOMWARE alert requiring senior review
E001-ESC0018,E001-C0018,true,L3,2026-08-08 05:27:39,SOC_L2,HIGH BRUTE_FORCE alert requiring senior review
E001-ESC0019,E001-C0019,true,L2,2026-08-08 10:08:47,SOC_L3,CRITICAL RANSOMWARE alert requiring senior review
E001-ESC0020,E001-C0020,false,,,,
E001-ESC0021,E001-C0021,true,L3,2026-08-09 04:23:20,CISO_OFFICE,HIGH PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0023,E001-C0023,true,L3,2026-08-09 20:50:51,SOC_L2,HIGH DATA_EXFILTRATION alert requiring senior review
E001-ESC0024,E001-C0024,true,L3,2026-08-10 06:12:54,SOC_L2,HIGH DATA_EXFILTRATION alert requiring senior review
E001-ESC0025,E001-C0025,true,L2,2026-08-10 15:20:45,SOC_L3,CRITICAL RANSOMWARE alert requiring senior review
E001-ESC0026,E001-C0026,false,,,,
E001-ESC0027,E001-C0027,true,L3,2026-08-11 11:30:24,SOC_L2,HIGH MALWARE alert requiring senior review
E001-ESC0028,E001-C0028,false,,,,
E001-ESC0029,E001-C0029,false,,,,
E001-ESC0030,E001-C0030,false,,,,
E001-ESC0032,E001-C0032,false,,,,
E001-ESC0033,E001-C0033,true,L2,2026-08-14 02:58:06,SOC_L3,HIGH PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0034,E001-C0034,true,L3,2026-08-14 05:08:25,SOC_L3,HIGH PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0035,E001-C0035,true,L2,2026-08-14 19:26:29,CISO_OFFICE,HIGH DATA_EXFILTRATION alert requiring senior review
E001-ESC0036,E001-C0036,true,L2,2026-08-15 19:05:05,SOC_L2,CRITICAL PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0037,E001-C0037,true,L2,2026-08-16 09:53:32,CISO_OFFICE,CRITICAL RANSOMWARE alert requiring senior review
E001-ESC0038,E001-C0038,false,,,,
E001-ESC0039,E001-C0039,true,L3,2026-08-17 00:32:09,SOC_L2,HIGH MALWARE alert requiring senior review
E001-ESC0040,E001-C0040,true,L3,2026-08-17 00:30:00,SOC_L3,CRITICAL RANSOMWARE alert requiring senior review
E001-ESC0042,E001-C0042,true,L2,2026-08-17 05:11:23,CISO_OFFICE,CRITICAL PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0043,E001-C0043,true,L2,2026-08-17 07:35:39,CISO_OFFICE,CRITICAL DATA_EXFILTRATION alert requiring senior review
E001-ESC0047,E001-C0047,false,,,,
E001-ESC0048,E001-C0048,true,L3,2026-08-18 16:45:07,SOC_L3,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0049,E001-C0049,true,L3,2026-08-19 17:49:33,CISO_OFFICE,HIGH DATA_EXFILTRATION alert requiring senior review
E001-ESC0050,E001-C0050,true,L2,2026-08-19 18:23:59,SOC_L2,HIGH PRIVILEGE_ESCALATION alert requiring senior review
E001-ESC0051,E001-C0051,false,,,,
E001-ESC0052,E001-C0052,true,L2,2026-08-20 09:29:00,CISO_OFFICE,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0053,E001-C0053,true,L3,2026-08-20 09:38:00,CISO_OFFICE,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0054,E001-C0054,true,L2,2026-08-20 10:31:00,CISO_OFFICE,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0055,E001-C0055,true,L2,2026-08-20 10:49:00,CISO_OFFICE,HIGH SUSPICIOUS_LOGIN alert requiring senior review
E001-ESC0056,E001-C0056,false,,,,
