scenario_id,entity_id,case_id,asset_id,problem_type,expected_detection
S001,E001,E001-C0003,E001-AS010,MISSING_ESCALATION,true
S002,E001,E001-C0021,E001-AS019,KPI_GAMING_PATTERN,true
S003,E001,E001-C0025,E001-AS008,MISSING_EVIDENCE,true
S004,E001,E001-C0033,E001-AS007,MISSING_EVIDENCE,true
S005,E001,E001-C0045,E001-AS006,MISSING_ESCALATION,true
S006,E001,E001-C0054,E001-AS017,KPI_GAMING_PATTERN,true
S007,E001,E001-C0057,E001-AS021,MISSING_INVESTIGATION,true
S008,E001,E001-C0058,E001-AS002,KPI_GAMING_PATTERN,true
S009,E001,E001-C0068,E001-AS022,MISSING_INVESTIGATION,true
S010,E001,E001-C0071,E001-AS026,MISSING_EVIDENCE,true
S011,E001,E001-C0074,E001-AS009,MISSING_ESCALATION,true
S012,E001,E001-C0081,E001-AS021,FAST_CRITICAL_CLOSURE,true
S013,E001,E001-C0088,E001-AS019,MISSING_INVESTIGATION,true
S014,E001,E001-C0092,E001-AS022,KPI_GAMING_PATTERN,true
S015,E001,E001-C0095,E001-AS018,KPI_GAMING_PATTERN,true
S016,E001,E001-C0040,,REPETITIVE_INVESTIGATION,true
S017,E001,,E001-AS017,REPEAT_INCIDENT,true
S018,E001,,E001-AS017,TELEMETRY_BLIND_SPOT,true
S019,E001,,E001-AS001,TELEMETRY_BLIND_SPOT,true
