telemetry_id,entity_id,asset_id,timestamp,source_type,event_count,expected_event_count,status
E001-T000001,E001,E001-AS001,2026-08-10 00:00:00,EDR,905,950,ACTIVE
E001-T000002,E001,E001-AS001,2026-08-10 01:00:00,EDR,995,950,ACTIVE
E001-T000003,E001,E001-AS001,2026-08-10 02:00:00,EDR,1000,950,ACTIVE
E001-T000004,E001,E001-AS001,2026-08-10 03:00:00,EDR,884,950,ACTIVE
E001-T000005,E001,E001-AS001,2026-08-10 04:00:00,EDR,1002,950,ACTIVE
E001-T000006,E001,E001-AS001,2026-08-10 05:00:00,EDR,994,950,ACTIVE
E001-T000007,E001,E001-AS001,2026-08-10 06:00:00,EDR,976,950,ACTIVE
E001-T000008,E001,E001-AS001,2026-08-10 07:00:00,EDR,895,950,ACTIVE
E001-T000009,E001,E001-AS001,2026-08-10 08:00:00,EDR,920,950,ACTIVE
E001-T000010,E001,E001-AS001,2026-08-10 09:00:00,EDR,912,950,ACTIVE
E001-T000011,E001,E001-AS001,2026-08-10 10:00:00,EDR,897,950,ACTIVE
E001-T000012,E001,E001-AS001,2026-08-10 11:00:00,EDR,938,950,ACTIVE
E001-T000013,E001,E001-AS001,2026-08-10 12:00:00,EDR,931,950,ACTIVE
E001-T000014,E001,E001-AS001,2026-08-10 13:00:00,EDR,942,950,ACTIVE
E001-T000015,E001,E001-AS001,2026-08-10 14:00:00,EDR,964,950,ACTIVE
E001-T000016,E001,E001-AS001,2026-08-10 15:00:00,EDR,962,950,ACTIVE
E001-T000017,E001,E001-AS001,2026-08-10 16:00:00,EDR,955,950,ACTIVE
E001-T000018,E001,E001-AS001,2026-08-10 17:00:00,EDR,1014,950,ACTIVE
E001-T000019,E001,E001-AS001,2026-08-10 18:00:00,EDR,1006,950,ACTIVE
E001-T000020,E001,E001-AS001,2026-08-10 19:00:00,EDR,937,950,ACTIVE
E001-T000021,E001,E001-AS001,2026-08-10 20:00:00,EDR,879,950,ACTIVE
E001-T000022,E001,E001-AS001,2026-08-10 21:00:00,EDR,1021,950,ACTIVE
E001-T000023,E001,E001-AS001,2026-08-10 22:00:00,EDR,980,950,ACTIVE
E001-T000024,E001,E001-AS001,2026-08-10 23:00:00,EDR,997,950,ACTIVE
E001-T000025,E001,E001-AS001,2026-08-11 00:00:00,EDR,964,950,ACTIVE
E001-T000026,E001,E001-AS001,2026-08-11 01:00:00,EDR,1012,950,ACTIVE
E001-T000027,E001,E001-AS001,2026-08-11 02:00:00,EDR,890,950,ACTIVE
E001-T000028,E001,E001-AS001,2026-08-11 03:00:00,EDR,911,950,ACTIVE
E001-T000029,E001,E001-AS001,2026-08-11 04:00:00,EDR,975,950,ACTIVE
E001-T000030,E001,E001-AS001,2026-08-11 05:00:00,EDR,899,950,ACTIVE
E001-T000031,E001,E001-AS001,2026-08-11 06:00:00,EDR,967,950,ACTIVE
E001-T000032,E001,E001-AS001,2026-08-11 07:00:00,EDR,959,950,ACTIVE
E001-T000033,E001,E001-AS001,2026-08-11 08:00:00,EDR,972,950,ACTIVE
E001-T000034,E001,E001-AS001,2026-08-11 09:00:00,EDR,972,950,ACTIVE
E001-T000035,E001,E001-AS001,2026-08-11 10:00:00,EDR,1020,950,ACTIVE
E001-T000036,E001,E001-AS001,2026-08-11 11:00:00,EDR,924,950,ACTIVE
E001-T000037,E001,E001-AS001,2026-08-11 12:00:00,EDR,995,950,ACTIVE
E001-T000038,E001,E001-AS001,2026-08-11 13:00:00,EDR,890,950,ACTIVE
E001-T000039,E001,E001-AS001,2026-08-11 14:00:00,EDR,888,950,ACTIVE
E001-T000040,E001,E001-AS001,2026-08-11 15:00:00,EDR,907,950,ACTIVE
E001-T000041,E001,E001-AS001,2026-08-11 16:00:00,EDR,987,950,ACTIVE
E001-T000042,E001,E001-AS001,2026-08-11 17:00:00,EDR,958,950,ACTIVE
E001-T000043,E001,E001-AS001,2026-08-11 18:00:00,EDR,978,950,ACTIVE
E001-T000044,E001,E001-AS001,2026-08-11 19:00:00,EDR,907,950,ACTIVE
E001-T000045,E001,E001-AS001,2026-08-11 20:00:00,EDR,930,950,ACTIVE
E001-T000046,E001,E001-AS001,2026-08-11 21:00:00,EDR,944,950,ACTIVE
E001-T000047,E001,E001-AS001,2026-08-11 22:00:00,EDR,977,950,ACTIVE
E001-T000048,E001,E001-AS001,2026-08-11 23:00:00,EDR,978,950,ACTIVE
E001-T000049,E001,E001-AS001,2026-08-12 00:00:00,EDR,896,950,ACTIVE
E001-T000050,E001,E001-AS001,2026-08-12 01:00:00,EDR,1025,950,ACTIVE
E001-T000051,E001,E001-AS001,2026-08-12 02:00:00,EDR,947,950,ACTIVE
E001-T000052,E001,E001-AS001,2026-08-12 03:00:00,EDR,918,950,ACTIVE
E001-T000053,E001,E001-AS001,2026-08-12 04:00:00,EDR,1013,950,ACTIVE
E001-T000054,E001,E001-AS001,2026-08-12 05:00:00,EDR,887,950,ACTIVE
E001-T000055,E001,E001-AS001,2026-08-12 06:00:00,EDR,1000,950,ACTIVE
