case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
E002-C0001,E002-A0001,E002,AN06,2026-08-18 00:27:36,2026-08-18 04:02:19,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0002,E002-A0003,E002,AN02,2026-08-18 00:41:00,2026-08-18 02:12:34,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0003,E002-A0004,E002,AN01,2026-08-18 00:34:05,2026-08-18 01:50:37,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0004,E002-A0005,E002,AN02,2026-08-18 00:39:21,2026-08-18 02:30:21,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0005,E002-A0008,E002,AN02,2026-08-18 00:58:10,2026-08-18 02:53:57,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0006,E002-A0009,E002,AN03,2026-08-18 01:04:49,2026-08-18 02:23:10,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0007,E002-A0010,E002,AN02,2026-08-18 01:25:00,2026-08-18 03:36:43,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0008,E002-A0011,E002,AN01,2026-08-18 01:39:08,2026-08-18 03:43:35,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0009,E002-A0019,E002,AN03,2026-08-18 04:38:44,2026-08-18 06:20:03,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0010,E002-A0020,E002,AN06,2026-08-18 04:49:53,2026-08-18 05:44:06,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0011,E002-A0021,E002,AN01,2026-08-18 05:13:04,2026-08-18 06:33:44,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0012,E002-A0023,E002,AN04,2026-08-18 05:25:23,2026-08-18 06:59:13,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0013,E002-A0024,E002,AN05,2026-08-18 05:26:14,2026-08-18 07:21:08,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0014,E002-A0025,E002,AN01,2026-08-18 06:02:33,2026-08-18 06:53:18,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0015,E002-A0027,E002,AN03,2026-08-20 08:04:00,2026-08-20 08:47:00,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0016,E002-A0030,E002,AN02,2026-08-18 07:12:16,2026-08-18 09:13:13,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0017,E002-A0032,E002,AN03,2026-08-18 07:30:32,2026-08-18 08:21:50,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0018,E002-A0033,E002,AN06,2026-08-18 07:44:30,2026-08-18 08:26:53,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0019,E002-A0034,E002,AN05,2026-08-18 08:17:15,2026-08-18 10:06:19,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0020,E002-A0035,E002,AN03,2026-08-20 15:02:00,2026-08-20 15:15:00,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0021,E002-A0039,E002,AN02,2026-08-18 11:00:10,2026-08-18 12:30:35,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0022,E002-A0040,E002,AN03,2026-08-20 16:32:00,2026-08-20 16:47:00,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0023,E002-A0042,E002,AN03,2026-08-18 11:48:08,2026-08-18 14:01:44,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0024,E002-A0044,E002,AN01,2026-08-18 13:24:21,2026-08-18 15:26:39,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0025,E002-A0045,E002,AN06,2026-08-18 13:27:57,2026-08-18 13:34:17,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0026,E002-A0047,E002,AN06,2026-08-18 14:09:07,2026-08-18 14:16:27,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0027,E002-A0048,E002,AN04,2026-08-18 14:31:57,2026-08-18 15:34:49,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0028,E002-A0050,E002,AN01,2026-08-18 15:16:12,2026-08-18 17:19:30,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0029,E002-A0051,E002,AN03,2026-08-18 16:13:34,2026-08-18 17:44:59,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0030,E002-A0053,E002,AN05,2026-08-18 17:29:20,2026-08-18 19:11:31,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0031,E002-A0055,E002,AN03,2026-08-18 18:23:04,2026-08-18 21:22:49,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0032,E002-A0058,E002,AN05,2026-08-20 11:05:00,2026-08-20 11:51:00,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0033,E002-A0059,E002,AN03,2026-08-18 19:31:43,2026-08-18 21:11:11,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0034,E002-A0060,E002,AN02,2026-08-18 21:07:43,2026-08-18 22:52:57,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0035,E002-A0061,E002,AN06,2026-08-18 21:09:09,2026-08-18 22:11:13,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0036,E002-A0063,E002,AN06,2026-08-18 22:29:12,2026-08-19 00:03:58,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0037,E002-A0065,E002,AN06,2026-08-19 00:00:58,2026-08-19 01:37:34,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0038,E002-A0069,E002,AN03,2026-08-19 01:11:36,2026-08-19 04:09:12,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0039,E002-A0070,E002,AN05,2026-08-19 01:23:29,2026-08-19 02:02:02,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0040,E002-A0074,E002,AN03,2026-08-19 01:54:30,2026-08-19 03:49:08,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0041,E002-A0075,E002,AN04,2026-08-20 14:06:00,2026-08-20 14:55:00,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0042,E002-A0076,E002,AN06,2026-08-19 02:08:32,2026-08-19 03:52:16,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0043,E002-A0077,E002,AN03,2026-08-19 03:04:39,2026-08-19 05:14:39,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0044,E002-A0079,E002,AN02,2026-08-19 03:26:42,2026-08-19 04:40:44,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0045,E002-A0083,E002,AN04,2026-08-19 04:18:45,2026-08-19 06:00:30,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0046,E002-A0084,E002,AN04,2026-08-19 04:15:17,2026-08-19 06:06:29,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0047,E002-A0085,E002,AN02,2026-08-19 04:29:09,2026-08-19 05:37:25,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0048,E002-A0086,E002,AN05,2026-08-19 05:02:25,2026-08-19 06:26:21,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0049,E002-A0090,E002,AN03,2026-08-19 06:17:17,2026-08-19 07:49:11,CLOSED,TRUE_POSITIVE,Threat investigated and contained
E002-C0050,E002-A0091,E002,AN01,2026-08-19 06:24:20,2026-08-19 08:30:17,CLOSED,BENIGN_ACTIVITY,Activity verified as legitimate
E002-C0051,E002-A0092,E002,AN06,2026-08-19 06:35:45,2026-08-19 08:04:52,CLOSED,FALSE_POSITIVE,Alert determined to be false positive
E002-C0052,E002-A0094,E002,AN01,2026-08-20 18:47:00,2026-08-20 19:01:00,CLOSED,TRUE_POSITIVE,Threat investigated and contained
