scenario_id,entity_id,case_id,asset_id,problem_type,expected_detection
E002-S001,E002,E002-C0001,E002-AS027,MISSING_INVESTIGATION,true
E002-S002,E002,E002-C0013,E002-AS006,MISSING_INVESTIGATION,true
E002-S003,E002,E002-C0016,E002-AS001,MISSING_EVIDENCE,true
E002-S004,E002,E002-C0026,E002-AS001,MISSING_EVIDENCE,true
E002-S005,E002,E002-C0023,E002-AS024,MISSING_ESCALATION,true
E002-S006,E002,E002-C0026,E002-AS001,MISSING_ESCALATION,true
E002-S007,E002,E002-C0025,E002-AS003,FAST_CRITICAL_CLOSURE,true
E002-S008,E002,E002-C0026,E002-AS001,FAST_CRITICAL_CLOSURE,true
E002-S009,E002,E002-C0093,E002-AS016,REPETITIVE_INVESTIGATION,true
E002-S010,E002,E002-C0021,E002-AS018,REPETITIVE_INVESTIGATION,true
E002-S011,E002,E002-C0014,E002-AS013,REPETITIVE_INVESTIGATION,true
E002-S012,E002,E002-C0044,E002-AS020,REPETITIVE_INVESTIGATION,true
E002-S013,E002,E002-C0015,E002-AS013,REPEAT_INCIDENT,true
E002-S014,E002,E002-C0032,E002-AS013,REPEAT_INCIDENT,true
E002-S015,E002,E002-C0041,E002-AS013,REPEAT_INCIDENT,true
E002-S016,E002,E002-C0084,E002-AS013,REPEAT_INCIDENT,true
E002-S017,E002,E002-C0020,E002-AS013,KPI_GAMING_PATTERN,true
E002-S018,E002,E002-C0102,E002-AS016,KPI_GAMING_PATTERN,true
E002-S019,E002,E002-C0022,E002-AS018,KPI_GAMING_PATTERN,true
E002-S020,E002,E002-C0089,E002-AS029,KPI_GAMING_PATTERN,true
E002-S021,E002,E002-C0077,E002-AS027,KPI_GAMING_PATTERN,true
E002-S022,E002,E002-C0052,E002-AS005,KPI_GAMING_PATTERN,true
E002-S023,E002,,E002-AS004,TELEMETRY_BLIND_SPOT,true
E002-S024,E002,,E002-AS019,TELEMETRY_BLIND_SPOT,true
