telemetry_id,entity_id,asset_id,timestamp,source_type,event_count,expected_event_count,status
E002-T000001,E002,E002-AS001,2026-08-18 00:00:00,DATABASE,1013,1110,ACTIVE
E002-T000002,E002,E002-AS002,2026-08-18 00:00:00,EDR,1103,1122,ACTIVE
E002-T000003,E002,E002-AS003,2026-08-18 00:00:00,EDR,820,832,ACTIVE
E002-T000004,E002,E002-AS004,2026-08-18 00:00:00,EDR,1181,1056,ACTIVE
E002-T000005,E002,E002-AS005,2026-08-18 00:00:00,EDR,900,881,ACTIVE
E002-T000006,E002,E002-AS006,2026-08-18 00:00:00,EDR,1050,1024,ACTIVE
E002-T000007,E002,E002-AS007,2026-08-18 00:00:00,EDR,1293,1174,ACTIVE
E002-T000008,E002,E002-AS008,2026-08-18 00:00:00,EDR,836,824,ACTIVE
E002-T000009,E002,E002-AS009,2026-08-18 00:00:00,EDR,841,820,ACTIVE
E002-T000010,E002,E002-AS010,2026-08-18 00:00:00,EDR,654,643,ACTIVE
E002-T000011,E002,E002-AS011,2026-08-18 00:00:00,EDR,734,704,ACTIVE
E002-T000012,E002,E002-AS012,2026-08-18 00:00:00,EMAIL_SECURITY,803,858,ACTIVE
E002-T000013,E002,E002-AS013,2026-08-18 00:00:00,IAM,1082,1076,ACTIVE
E002-T000014,E002,E002-AS014,2026-08-18 00:00:00,IAM,762,749,ACTIVE
E002-T000015,E002,E002-AS015,2026-08-18 00:00:00,FIREWALL,790,723,ACTIVE
E002-T000016,E002,E002-AS016,2026-08-18 00:00:00,FIREWALL,819,866,ACTIVE
E002-T000017,E002,E002-AS017,2026-08-18 00:00:00,FIREWALL,606,671,ACTIVE
E002-T000018,E002,E002-AS018,2026-08-18 00:00:00,IDS,609,607,ACTIVE
E002-T000019,E002,E002-AS019,2026-08-18 00:00:00,SIEM,1192,1167,ACTIVE
E002-T000020,E002,E002-AS020,2026-08-18 00:00:00,IAM,596,612,ACTIVE
E002-T000021,E002,E002-AS021,2026-08-18 00:00:00,EDR,609,648,ACTIVE
E002-T000022,E002,E002-AS022,2026-08-18 00:00:00,EDR,525,533,ACTIVE
E002-T000023,E002,E002-AS023,2026-08-18 00:00:00,EDR,395,430,ACTIVE
E002-T000024,E002,E002-AS024,2026-08-18 00:00:00,EDR,701,680,ACTIVE
E002-T000025,E002,E002-AS025,2026-08-18 00:00:00,EDR,951,942,ACTIVE
E002-T000026,E002,E002-AS026,2026-08-18 00:00:00,EDR,795,798,ACTIVE
E002-T000027,E002,E002-AS027,2026-08-18 00:00:00,EDR,1060,1111,ACTIVE
E002-T000028,E002,E002-AS028,2026-08-18 00:00:00,EDR,720,796,ACTIVE
E002-T000029,E002,E002-AS029,2026-08-18 00:00:00,IDS,723,724,ACTIVE
E002-T000030,E002,E002-AS030,2026-08-18 00:00:00,FIREWALL,566,555,ACTIVE
E002-T000031,E002,E002-AS031,2026-08-18 00:00:00,FIREWALL,583,596,ACTIVE
E002-T000032,E002,E002-AS032,2026-08-18 00:00:00,SIEM,739,815,ACTIVE
E002-T000033,E002,E002-AS001,2026-08-18 01:00:00,DATABASE,1140,1110,ACTIVE
E002-T000034,E002,E002-AS002,2026-08-18 01:00:00,EDR,1188,1122,ACTIVE
E002-T000035,E002,E002-AS003,2026-08-18 01:00:00,EDR,854,832,ACTIVE
E002-T000036,E002,E002-AS004,2026-08-18 01:00:00,EDR,1005,1056,ACTIVE
E002-T000037,E002,E002-AS005,2026-08-18 01:00:00,EDR,858,881,ACTIVE
