alert_id,entity_id,asset_id,severity,alert_type,timestamp
AL-E003-001,E003,AST-E003-001,High,Impossible Travel,2026-08-29T20:28:00
AL-E003-002,E003,AST-E003-002,High,Endpoint Tampering,2026-08-24T10:02:00
AL-E003-003,E003,AST-E003-003,Medium,Impossible Travel,2026-08-17T07:17:00
AL-E003-004,E003,AST-E003-004,Low,Brute Force,2026-08-27T22:09:00
AL-E003-005,E003,AST-E003-005,High,Endpoint Tampering,2026-08-02T15:18:00
AL-E003-006,E003,AST-E003-006,Medium,Brute Force,2026-08-08T18:08:00
AL-E003-007,E003,AST-E003-007,High,Endpoint Tampering,2026-08-25T23:45:00
AL-E003-008,E003,AST-E003-008,High,Privilege Escalation,2026-08-06T01:40:00
AL-E003-009,E003,AST-E003-009,High,Endpoint Tampering,2026-08-30T03:22:00
AL-E003-010,E003,AST-E003-010,Low,Malware Detection,2026-08-13T11:43:00
AL-E003-011,E003,AST-E003-011,High,Abnormal API Activity,2026-08-23T06:28:00
AL-E003-012,E003,AST-E003-012,Low,Malware Detection,2026-08-05T08:41:00
AL-E003-013,E003,AST-E003-013,High,Suspicious Login,2026-08-20T00:20:00
AL-E003-014,E003,AST-E003-014,Medium,Impossible Travel,2026-08-14T17:00:00
AL-E003-015,E003,AST-E003-015,Low,Endpoint Tampering,2026-08-06T17:53:00
AL-E003-016,E003,AST-E003-016,Medium,Endpoint Tampering,2026-08-03T09:05:00
AL-E003-017,E003,AST-E003-017,Medium,Data Exfiltration,2026-08-16T09:29:00
AL-E003-018,E003,AST-E003-018,Low,Suspicious Login,2026-08-24T08:03:00
AL-E003-019,E003,AST-E003-019,Low,Malware Detection,2026-08-15T10:14:00
AL-E003-020,E003,AST-E003-020,Medium,Privilege Escalation,2026-08-28T15:06:00
AL-E003-021,E003,AST-E003-021,Low,Data Exfiltration,2026-08-19T21:34:00
AL-E003-022,E003,AST-E003-022,Medium,Brute Force,2026-08-08T10:36:00
AL-E003-023,E003,AST-E003-023,Medium,Unauthorized Access,2026-08-15T14:47:00
AL-E003-024,E003,AST-E003-024,Medium,Firewall Anomaly,2026-08-18T12:38:00
AL-E003-025,E003,AST-E003-025,Medium,Endpoint Tampering,2026-08-18T21:49:00
AL-E003-026,E003,AST-E003-026,Low,Firewall Anomaly,2026-08-26T18:51:00
AL-E003-027,E003,AST-E003-027,Medium,Privilege Escalation,2026-08-13T16:19:00
AL-E003-028,E003,AST-E003-028,Medium,Data Exfiltration,2026-08-15T00:52:00
AL-E003-029,E003,AST-E003-029,Low,Brute Force,2026-08-25T01:12:00
AL-E003-030,E003,AST-E003-030,High,Endpoint Tampering,2026-08-01T20:30:00
AL-E003-031,E003,AST-E003-001,Low,Endpoint Tampering,2026-08-15T15:55:00
