case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
CASE-E003-001,AL-E003-001,E003,,2026-08-29T20:28:00,2026-08-29T22:07:00,CLOSED,,
CASE-E003-002,AL-E003-003,E003,,2026-08-17T07:17:00,2026-08-17T10:30:00,CLOSED,,
CASE-E003-003,AL-E003-005,E003,,2026-08-02T15:18:00,2026-08-03T03:31:00,CLOSED,,
CASE-E003-004,AL-E003-007,E003,,2026-08-25T23:45:00,2026-08-26T07:15:00,CLOSED,,
CASE-E003-005,AL-E003-009,E003,,2026-08-30T03:22:00,2026-08-30T06:01:00,CLOSED,,
CASE-E003-006,AL-E003-011,E003,,2026-08-23T06:28:00,2026-08-23T13:47:00,CLOSED,,
CASE-E003-007,AL-E003-013,E003,,2026-08-20T00:20:00,2026-08-20T15:45:00,CLOSED,,
CASE-E003-008,AL-E003-015,E003,,2026-08-06T17:53:00,2026-08-07T01:55:00,CLOSED,,
CASE-E003-009,AL-E003-017,E003,,2026-08-16T09:29:00,2026-08-17T02:32:00,CLOSED,,
CASE-E003-010,AL-E003-019,E003,,2026-08-15T10:14:00,2026-08-15T21:30:00,CLOSED,,
CASE-E003-011,AL-E003-021,E003,,2026-08-19T21:34:00,2026-08-19T21:35:18,CLOSED,,
CASE-E003-012,AL-E003-023,E003,,2026-08-15T14:47:00,2026-08-15T16:44:00,CLOSED,,
CASE-E003-013,AL-E003-025,E003,,2026-08-18T21:49:00,2026-08-19T12:15:00,CLOSED,,
CASE-E003-014,AL-E003-027,E003,,2026-08-13T16:19:00,2026-08-13T19:28:00,CLOSED,,
CASE-E003-015,AL-E003-029,E003,,2026-08-25T01:12:00,2026-08-25T08:32:00,CLOSED,,
CASE-E003-016,AL-E003-031,E003,,2026-08-15T15:55:00,2026-08-15T21:54:00,CLOSED,,
CASE-E003-017,AL-E003-033,E003,,2026-08-30T03:59:00,2026-08-30T17:50:00,CLOSED,,
CASE-E003-018,AL-E003-035,E003,,2026-08-29T01:02:00,2026-08-29T18:30:00,CLOSED,,
CASE-E003-019,AL-E003-037,E003,,2026-08-18T03:13:00,2026-08-18T19:52:00,CLOSED,,
