escalation_id,case_id,escalated,escalation_level,escalated_at,escalated_to,reason
ESC-E003-001,CASE-E003-001,,L2-SOC,2026-08-29T22:07:00,,Escalated for supervisory review
ESC-E003-002,CASE-E003-004,,L2-SOC,2026-08-26T01:42:00,,Escalated for supervisory review
ESC-E003-003,CASE-E003-005,,L2-SOC,2026-08-30T05:01:00,,Escalated for supervisory review
ESC-E003-004,CASE-E003-006,,L2-SOC,2026-08-23T07:51:00,,Escalated for supervisory review
ESC-E003-005,CASE-E003-007,,L2-SOC,2026-08-20T01:24:00,,Escalated for supervisory review
ESC-E003-006,CASE-E003-013,,L2-SOC,2026-08-18T23:25:00,,Escalated for supervisory review
ESC-E003-007,CASE-E003-014,,L2-SOC,2026-08-13T17:32:00,,Escalated for supervisory review
ESC-E003-008,CASE-E003-015,,L2-SOC,2026-08-25T03:06:00,,Escalated for supervisory review
ESC-E003-009,CASE-E003-017,,L2-SOC,2026-08-30T04:57:00,,Escalated for supervisory review
ESC-E003-010,CASE-E003-020,,L2-SOC,2026-08-09T10:39:00,,Escalated for supervisory review
ESC-E003-011,CASE-E003-021,,L2-SOC,2026-08-15T00:36:00,,Escalated for supervisory review
ESC-E003-012,CASE-E003-022,,L2-SOC,2026-08-15T12:37:00,,Escalated for supervisory review
ESC-E003-013,CASE-E003-023,,L2-SOC,2026-08-30T22:52:00,,Escalated for supervisory review
ESC-E003-014,CASE-E003-024,,L2-SOC,2026-08-11T14:07:00,,Escalated for supervisory review
ESC-E003-015,CASE-E003-025,,L2-SOC,2026-08-27T05:56:00,,Escalated for supervisory review
ESC-E003-016,CASE-E003-027,,L2-SOC,2026-08-30T14:27:00,,Escalated for supervisory review
ESC-E003-017,CASE-E003-028,,L2-SOC,2026-08-14T16:36:00,,Escalated for supervisory review
ESC-E003-018,CASE-E003-029,,L2-SOC,2026-08-14T14:08:00,,Escalated for supervisory review
ESC-E003-019,CASE-E003-030,,L2-SOC,2026-08-10T11:04:00,,Escalated for supervisory review
ESC-E003-020,CASE-E003-031,,L2-SOC,2026-08-02T20:38:00,,Escalated for supervisory review
ESC-E003-021,CASE-E003-032,,L2-SOC,2026-08-04T10:29:00,,Escalated for supervisory review
ESC-E003-022,CASE-E003-033,,L2-SOC,2026-08-02T23:05:00,,Escalated for supervisory review
ESC-E003-023,CASE-E003-034,,L2-SOC,2026-08-27T14:18:00,,Escalated for supervisory review
ESC-E003-024,CASE-E003-037,,L2-SOC,2026-08-17T08:46:00,,Escalated for supervisory review
ESC-E003-025,CASE-E003-038,,L2-SOC,2026-08-09T05:05:00,,Escalated for supervisory review
ESC-E003-026,CASE-E003-039,,L2-SOC,2026-08-23T12:45:00,,Escalated for supervisory review
ESC-E003-027,CASE-E003-041,,L2-SOC,2026-08-01T10:06:00,,Escalated for supervisory review
ESC-E003-028,CASE-E003-042,,L2-SOC,2026-08-23T08:58:00,,Escalated for supervisory review
ESC-E003-029,CASE-E003-043,,L2-SOC,2026-08-08T11:55:00,,Escalated for supervisory review
ESC-E003-030,CASE-E003-044,,L2-SOC,2026-08-15T04:45:00,,Escalated for supervisory review
ESC-E003-031,CASE-E003-047,,L2-SOC,2026-08-29T17:33:00,,Escalated for supervisory review
ESC-E003-032,CASE-E003-048,,L2-SOC,2026-08-20T12:29:00,,Escalated for supervisory review
ESC-E003-033,CASE-E003-049,,L2-SOC,2026-08-25T17:28:00,,Escalated for supervisory review
ESC-E003-034,CASE-E003-050,,L2-SOC,2026-08-20T18:34:00,,Escalated for supervisory review
ESC-E003-035,CASE-E003-052,,L2-SOC,2026-08-15T20:51:00,,Escalated for supervisory review
ESC-E003-036,CASE-E003-054,,L2-SOC,2026-08-05T20:37:00,,Escalated for supervisory review
ESC-E003-037,CASE-E003-055,,L2-SOC,2026-08-06T20:57:00,,Escalated for supervisory review
ESC-E003-038,CASE-E003-057,,L2-SOC,2026-08-24T16:10:00,,Escalated for supervisory review
ESC-E003-039,CASE-E003-058,,L2-SOC,2026-08-26T12:53:00,,Escalated for supervisory review
ESC-E003-040,CASE-E003-059,,L2-SOC,2026-08-12T09:07:00,,Escalated for supervisory review
ESC-E003-041,CASE-E003-060,,L2-SOC,2026-08-12T21:20:00,,Escalated for supervisory review
ESC-E003-042,CASE-E003-061,,L2-SOC,2026-08-18T10:57:00,,Escalated for supervisory review
ESC-E003-043,CASE-E003-063,,L2-SOC,2026-08-08T03:15:00,,Escalated for supervisory review
ESC-E003-044,CASE-E003-064,,L2-SOC,2026-08-21T12:44:00,,Escalated for supervisory review
ESC-E003-045,CASE-E003-065,,L2-SOC,2026-08-08T01:08:00,,Escalated for supervisory review
ESC-E003-046,CASE-E003-068,,L2-SOC,2026-08-10T12:47:00,,Escalated for supervisory review
ESC-E003-047,CASE-E003-069,,L2-SOC,2026-08-20T09:31:00,,Escalated for supervisory review
ESC-E003-048,CASE-E003-071,,L2-SOC,2026-08-03T11:44:00,,Escalated for supervisory review
ESC-E003-049,CASE-E003-072,,L2-SOC,2026-08-11T07:10:00,,Escalated for supervisory review
ESC-E003-050,CASE-E003-073,,L2-SOC,2026-08-09T21:08:00,,Escalated for supervisory review
ESC-E003-051,CASE-E003-076,,L2-SOC,2026-08-01T15:54:00,,Escalated for supervisory review
ESC-E003-052,CASE-E003-077,,L2-SOC,2026-08-10T21:46:00,,Escalated for supervisory review
ESC-E003-053,CASE-E003-078,,L2-SOC,2026-08-06T19:11:00,,Escalated for supervisory review
ESC-E003-054,CASE-E003-079,,L2-SOC,2026-08-12T18:47:00,,Escalated for supervisory review
ESC-E003-055,CASE-E003-080,,L2-SOC,2026-08-31T03:22:00,,Escalated for supervisory review
ESC-E003-056,CASE-E003-081,,L2-SOC,2026-08-27T03:17:00,,Escalated for supervisory review
ESC-E003-057,CASE-E003-084,,L2-SOC,2026-08-07T18:39:00,,Escalated for supervisory review
ESC-E003-058,CASE-E003-085,,L2-SOC,2026-08-22T04:27:00,,Escalated for supervisory review
ESC-E003-059,CASE-E003-086,,L2-SOC,2026-08-26T13:13:00,,Escalated for supervisory review
ESC-E003-060,CASE-E003-087,,L2-SOC,2026-08-18T19:52:00,,Escalated for supervisory review
ESC-E003-061,CASE-E003-088,,L2-SOC,2026-08-12T15:42:00,,Escalated for supervisory review
ESC-E003-062,CASE-E003-089,,L2-SOC,2026-08-21T19:23:00,,Escalated for supervisory review
ESC-E003-063,CASE-E003-090,,L2-SOC,2026-08-08T07:08:00,,Escalated for supervisory review
ESC-E003-064,CASE-E003-091,,L2-SOC,2026-08-09T18:35:00,,Escalated for supervisory review
ESC-E003-065,CASE-E003-092,,L2-SOC,2026-08-07T05:12:00,,Escalated for supervisory review
ESC-E003-066,CASE-E003-096,,L2-SOC,2026-08-15T00:49:00,,Escalated for supervisory review
