scenario_id,entity_id,case_id,asset_id,problem_type,expected_detection
GT-E003-001,E003,CASE-E003-016,,MISSING_INVESTIGATION,true
GT-E003-002,E003,CASE-E003-036,,MISSING_INVESTIGATION,true
GT-E003-003,E003,CASE-E003-071,,MISSING_INVESTIGATION,true
GT-E003-004,E003,CASE-E003-011,,MISSING_EVIDENCE,true
GT-E003-005,E003,CASE-E003-011,,MISSING_ESCALATION,true
GT-E003-006,E003,CASE-E003-016,,MISSING_ESCALATION,true
GT-E003-007,E003,CASE-E003-026,,MISSING_ESCALATION,true
GT-E003-008,E003,CASE-E003-011,,FAST_CRITICAL_CLOSURE,true
GT-E003-009,E003,CASE-E003-026,,FAST_CRITICAL_CLOSURE,true
GT-E003-010,E003,CASE-E003-045,,FAST_CRITICAL_CLOSURE,true
GT-E003-011,E003,CASE-E003-062,,FAST_CRITICAL_CLOSURE,true
GT-E003-012,E003,CASE-E003-083,,FAST_CRITICAL_CLOSURE,true
GT-E003-013,E003,CASE-E003-002,,NORMAL_WORKFLOW,false
GT-E003-014,E003,CASE-E003-003,,NORMAL_WORKFLOW,false
GT-E003-015,E003,CASE-E003-004,,NORMAL_WORKFLOW,false
GT-E003-016,E003,CASE-E003-005,,NORMAL_WORKFLOW,false
GT-E003-017,E003,CASE-E003-006,,NORMAL_WORKFLOW,false
GT-E003-018,E003,CASE-E003-007,,NORMAL_WORKFLOW,false
GT-E003-019,E003,CASE-E003-008,,NORMAL_WORKFLOW,false
