investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
INV-E003-001,CASE-E003-001,,,Analyst-1,Validated affected asset and analyst observations.,true,,
INV-E003-002,CASE-E003-002,,,Analyst-2,Checked related events and documented root cause.,true,,
INV-E003-003,CASE-E003-003,,,Analyst-3,Validated affected asset and analyst observations.,true,,
INV-E003-004,CASE-E003-004,,,Analyst-4,Checked related events and documented root cause.,true,,
INV-E003-005,CASE-E003-005,,,Analyst-5,Correlated alert with firewall and identity logs.,true,,
INV-E003-006,CASE-E003-006,,,Analyst-6,Validated affected asset and analyst observations.,true,,
INV-E003-007,CASE-E003-007,,,Analyst-7,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-008,CASE-E003-008,,,Analyst-8,Validated affected asset and analyst observations.,true,,
INV-E003-009,CASE-E003-009,,,Analyst-1,Validated affected asset and analyst observations.,true,,
INV-E003-010,CASE-E003-010,,,Analyst-2,Validated affected asset and analyst observations.,true,,
INV-E003-011,CASE-E003-011,,,Analyst-3,Reviewed authentication and endpoint telemetry.,false,,
INV-E003-012,CASE-E003-012,,,Analyst-4,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-013,CASE-E003-013,,,Analyst-5,Checked related events and documented root cause.,true,,
INV-E003-014,CASE-E003-014,,,Analyst-6,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-015,CASE-E003-015,,,Analyst-7,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-016,CASE-E003-017,,,Analyst-1,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-017,CASE-E003-018,,,Analyst-2,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-018,CASE-E003-019,,,Analyst-3,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-019,CASE-E003-020,,,Analyst-4,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-020,CASE-E003-021,,,Analyst-5,Correlated alert with firewall and identity logs.,true,,
INV-E003-021,CASE-E003-022,,,Analyst-6,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-022,CASE-E003-023,,,Analyst-7,Checked related events and documented root cause.,true,,
INV-E003-023,CASE-E003-024,,,Analyst-8,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-024,CASE-E003-025,,,Analyst-1,Correlated alert with firewall and identity logs.,true,,
INV-E003-025,CASE-E003-026,,,Analyst-2,Validated affected asset and analyst observations.,true,,
INV-E003-026,CASE-E003-027,,,Analyst-3,Correlated alert with firewall and identity logs.,true,,
INV-E003-027,CASE-E003-028,,,Analyst-4,Checked related events and documented root cause.,true,,
INV-E003-028,CASE-E003-029,,,Analyst-5,Validated affected asset and analyst observations.,true,,
INV-E003-029,CASE-E003-030,,,Analyst-6,Checked related events and documented root cause.,true,,
INV-E003-030,CASE-E003-031,,,Analyst-7,Validated affected asset and analyst observations.,true,,
INV-E003-031,CASE-E003-032,,,Analyst-8,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-032,CASE-E003-033,,,Analyst-1,Checked related events and documented root cause.,true,,
INV-E003-033,CASE-E003-034,,,Analyst-2,Validated affected asset and analyst observations.,true,,
INV-E003-034,CASE-E003-035,,,Analyst-3,Checked related events and documented root cause.,true,,
INV-E003-035,CASE-E003-037,,,Analyst-5,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-036,CASE-E003-038,,,Analyst-6,Validated affected asset and analyst observations.,true,,
INV-E003-037,CASE-E003-039,,,Analyst-7,Correlated alert with firewall and identity logs.,true,,
INV-E003-038,CASE-E003-040,,,Analyst-8,Checked related events and documented root cause.,true,,
INV-E003-039,CASE-E003-041,,,Analyst-1,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-040,CASE-E003-042,,,Analyst-2,Checked related events and documented root cause.,true,,
INV-E003-041,CASE-E003-043,,,Analyst-3,Validated affected asset and analyst observations.,true,,
INV-E003-042,CASE-E003-044,,,Analyst-4,Checked related events and documented root cause.,true,,
INV-E003-043,CASE-E003-045,,,Analyst-5,Correlated alert with firewall and identity logs.,true,,
INV-E003-044,CASE-E003-046,,,Analyst-6,Checked related events and documented root cause.,true,,
INV-E003-045,CASE-E003-047,,,Analyst-7,Validated affected asset and analyst observations.,true,,
INV-E003-046,CASE-E003-048,,,Analyst-8,Correlated alert with firewall and identity logs.,true,,
INV-E003-047,CASE-E003-049,,,Analyst-1,Validated affected asset and analyst observations.,true,,
INV-E003-048,CASE-E003-050,,,Analyst-2,Checked related events and documented root cause.,true,,
INV-E003-049,CASE-E003-051,,,Analyst-3,Checked related events and documented root cause.,true,,
INV-E003-050,CASE-E003-052,,,Analyst-4,Correlated alert with firewall and identity logs.,true,,
INV-E003-051,CASE-E003-053,,,Analyst-5,Checked related events and documented root cause.,true,,
INV-E003-052,CASE-E003-054,,,Analyst-6,Checked related events and documented root cause.,true,,
INV-E003-053,CASE-E003-055,,,Analyst-7,Validated affected asset and analyst observations.,true,,
INV-E003-054,CASE-E003-056,,,Analyst-8,Validated affected asset and analyst observations.,true,,
INV-E003-055,CASE-E003-057,,,Analyst-1,Correlated alert with firewall and identity logs.,true,,
INV-E003-056,CASE-E003-058,,,Analyst-2,Checked related events and documented root cause.,true,,
INV-E003-057,CASE-E003-059,,,Analyst-3,Checked related events and documented root cause.,true,,
INV-E003-058,CASE-E003-060,,,Analyst-4,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-059,CASE-E003-061,,,Analyst-5,Correlated alert with firewall and identity logs.,true,,
INV-E003-060,CASE-E003-062,,,Analyst-6,Correlated alert with firewall and identity logs.,true,,
INV-E003-061,CASE-E003-063,,,Analyst-7,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-062,CASE-E003-064,,,Analyst-8,Checked related events and documented root cause.,true,,
INV-E003-063,CASE-E003-065,,,Analyst-1,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-064,CASE-E003-066,,,Analyst-2,Reviewed authentication and endpoint telemetry.,true,,
