telemetry_id,entity_id,asset_id,timestamp,source_type,event_count,expected_event_count,status
TEL-E003-0001,E003,AST-E003-001,2026-08-30T04:46:00,,56,,
TEL-E003-0002,E003,AST-E003-002,2026-08-15T12:43:00,,68,,
TEL-E003-0003,E003,AST-E003-003,2026-08-26T00:05:00,,37,,
TEL-E003-0004,E003,AST-E003-004,2026-08-14T07:30:00,,48,,
TEL-E003-0005,E003,AST-E003-005,2026-08-17T16:27:00,,67,,
TEL-E003-0006,E003,AST-E003-006,2026-08-01T18:59:00,,81,,
TEL-E003-0007,E003,AST-E003-007,2026-08-25T11:50:00,,22,,
TEL-E003-0008,E003,AST-E003-008,2026-08-03T14:53:00,,99,,
TEL-E003-0009,E003,AST-E003-009,2026-08-22T12:43:00,,71,,
TEL-E003-0010,E003,AST-E003-010,2026-08-02T22:21:00,,31,,
TEL-E003-0011,E003,AST-E003-011,2026-08-01T22:24:00,,44,,
TEL-E003-0012,E003,AST-E003-012,2026-08-03T15:59:00,,40,,
TEL-E003-0013,E003,AST-E003-013,2026-08-13T05:52:00,,54,,
TEL-E003-0014,E003,AST-E003-014,2026-08-13T04:22:00,,4,,
TEL-E003-0015,E003,AST-E003-015,2026-08-20T21:11:00,,98,,
TEL-E003-0016,E003,AST-E003-016,2026-08-26T23:45:00,,96,,
TEL-E003-0017,E003,AST-E003-017,2026-08-20T02:28:00,,36,,
TEL-E003-0018,E003,AST-E003-018,2026-08-02T02:09:00,,3,,
TEL-E003-0019,E003,AST-E003-019,2026-08-23T10:38:00,,60,,
TEL-E003-0020,E003,AST-E003-020,2026-08-25T01:13:00,,67,,
TEL-E003-0021,E003,AST-E003-021,2026-08-30T02:28:00,,24,,
TEL-E003-0022,E003,AST-E003-022,2026-08-04T16:32:00,,53,,
TEL-E003-0023,E003,AST-E003-023,2026-08-17T08:22:00,,36,,
TEL-E003-0024,E003,AST-E003-024,2026-08-12T23:09:00,,68,,
TEL-E003-0025,E003,AST-E003-025,2026-08-08T09:38:00,,67,,
TEL-E003-0026,E003,AST-E003-026,2026-08-03T01:14:00,,30,,
TEL-E003-0027,E003,AST-E003-027,2026-08-22T05:16:00,,41,,
TEL-E003-0028,E003,AST-E003-028,2026-08-27T11:31:00,,17,,
TEL-E003-0029,E003,AST-E003-029,2026-08-14T01:40:00,,56,,
TEL-E003-0030,E003,AST-E003-030,2026-08-04T18:50:00,,66,,
TEL-E003-0031,E003,AST-E003-001,2026-08-23T11:56:00,,40,,
TEL-E003-0032,E003,AST-E003-002,2026-08-17T01:42:00,,51,,
TEL-E003-0033,E003,AST-E003-003,2026-08-15T17:22:00,,28,,
TEL-E003-0034,E003,AST-E003-004,2026-08-03T01:22:00,,79,,
TEL-E003-0035,E003,AST-E003-005,2026-08-19T04:45:00,,17,,
TEL-E003-0036,E003,AST-E003-006,2026-08-20T07:52:00,,11,,
TEL-E003-0037,E003,AST-E003-007,2026-08-23T20:53:00,,95,,
TEL-E003-0038,E003,AST-E003-008,2026-08-04T22:52:00,,81,,
TEL-E003-0039,E003,AST-E003-009,2026-08-01T13:51:00,,56,,
TEL-E003-0040,E003,AST-E003-010,2026-08-13T12:18:00,,35,,
TEL-E003-0041,E003,AST-E003-011,2026-08-14T12:06:00,,31,,
TEL-E003-0042,E003,AST-E003-012,2026-08-23T11:28:00,,20,,
TEL-E003-0043,E003,AST-E003-013,2026-08-09T10:19:00,,83,,
TEL-E003-0044,E003,AST-E003-014,2026-08-01T17:18:00,,7,,
TEL-E003-0045,E003,AST-E003-015,2026-08-09T12:55:00,,25,,
TEL-E003-0046,E003,AST-E003-016,2026-08-30T20:29:00,,7,,
TEL-E003-0047,E003,AST-E003-017,2026-08-25T04:23:00,,49,,
TEL-E003-0048,E003,AST-E003-018,2026-08-06T04:56:00,,24,,
TEL-E003-0049,E003,AST-E003-019,2026-08-02T12:43:00,,17,,
TEL-E003-0050,E003,AST-E003-020,2026-08-06T13:42:00,,17,,
TEL-E003-0051,E003,AST-E003-021,2026-08-18T18:58:00,,25,,
TEL-E003-0052,E003,AST-E003-022,2026-08-01T16:06:00,,62,,
TEL-E003-0053,E003,AST-E003-023,2026-08-12T12:38:00,,70,,
TEL-E003-0054,E003,AST-E003-024,2026-08-23T09:49:00,,61,,
TEL-E003-0055,E003,AST-E003-025,2026-08-02T07:18:00,,73,,
TEL-E003-0056,E003,AST-E003-026,2026-08-19T20:59:00,,57,,
TEL-E003-0057,E003,AST-E003-027,2026-08-08T02:52:00,,26,,
TEL-E003-0058,E003,AST-E003-028,2026-08-28T09:08:00,,39,,
TEL-E003-0059,E003,AST-E003-029,2026-08-08T23:24:00,,26,,
TEL-E003-0060,E003,AST-E003-030,2026-08-07T06:25:00,,53,,
TEL-E003-0061,E003,AST-E003-001,2026-08-29T07:05:00,,74,,
TEL-E003-0062,E003,AST-E003-002,2026-08-01T23:12:00,,52,,
TEL-E003-0063,E003,AST-E003-003,2026-08-27T05:25:00,,12,,
TEL-E003-0064,E003,AST-E003-004,2026-08-22T10:10:00,,19,,
TEL-E003-0065,E003,AST-E003-005,2026-08-28T04:56:00,,59,,
TEL-E003-0066,E003,AST-E003-006,2026-08-24T09:06:00,,76,,
TEL-E003-0067,E003,AST-E003-007,2026-08-17T15:30:00,,37,,
TEL-E003-0068,E003,AST-E003-008,2026-08-14T21:03:00,,16,,
TEL-E003-0069,E003,AST-E003-009,2026-08-28T17:37:00,,94,,
TEL-E003-0070,E003,AST-E003-010,2026-08-30T16:48:00,,56,,
TEL-E003-0071,E003,AST-E003-011,2026-08-13T11:28:00,,62,,
TEL-E003-0072,E003,AST-E003-012,2026-08-16T13:23:00,,80,,
TEL-E003-0073,E003,AST-E003-013,2026-08-03T16:19:00,,55,,
TEL-E003-0074,E003,AST-E003-014,2026-08-26T08:35:00,,31,,
TEL-E003-0075,E003,AST-E003-015,2026-08-18T16:55:00,,10,,
