telemetry_id,entity_id,asset_id,timestamp,source_type,event_count,expected_event_count,status
E005-T000001,E005,E005-AS001,2026-08-01 08:00:00,EDR,982,1000,ACTIVE
E005-T000002,E005,E005-AS001,2026-08-01 09:00:00,EDR,1074,1000,ACTIVE
E005-T000003,E005,E005-AS001,2026-08-01 10:00:00,EDR,1061,1000,ACTIVE
E005-T000004,E005,E005-AS001,2026-08-01 11:00:00,EDR,1098,1000,ACTIVE
E005-T000005,E005,E005-AS001,2026-08-01 12:00:00,EDR,1002,1000,ACTIVE
E005-T000006,E005,E005-AS001,2026-08-01 13:00:00,EDR,1067,1000,ACTIVE
E005-T000007,E005,E005-AS001,2026-08-01 14:00:00,EDR,1051,1000,ACTIVE
E005-T000008,E005,E005-AS001,2026-08-01 15:00:00,EDR,955,1000,ACTIVE
E005-T000009,E005,E005-AS001,2026-08-01 16:00:00,EDR,1091,1000,ACTIVE
E005-T000010,E005,E005-AS001,2026-08-01 17:00:00,EDR,955,1000,ACTIVE
E005-T000011,E005,E005-AS001,2026-08-01 18:00:00,EDR,920,1000,ACTIVE
E005-T000012,E005,E005-AS001,2026-08-01 19:00:00,EDR,1073,1000,ACTIVE
E005-T000013,E005,E005-AS001,2026-08-01 20:00:00,EDR,955,1000,ACTIVE
E005-T000014,E005,E005-AS001,2026-08-01 21:00:00,EDR,1080,1000,ACTIVE
E005-T000015,E005,E005-AS001,2026-08-01 22:00:00,EDR,930,1000,ACTIVE
E005-T000016,E005,E005-AS001,2026-08-01 23:00:00,EDR,1083,1000,ACTIVE
E005-T000017,E005,E005-AS001,2026-08-02 00:00:00,EDR,972,1000,ACTIVE
E005-T000018,E005,E005-AS001,2026-08-02 01:00:00,EDR,1078,1000,ACTIVE
E005-T000019,E005,E005-AS001,2026-08-02 02:00:00,EDR,977,1000,ACTIVE
E005-T000020,E005,E005-AS001,2026-08-02 03:00:00,EDR,1004,1000,ACTIVE
E005-T000021,E005,E005-AS001,2026-08-02 04:00:00,EDR,1018,1000,ACTIVE
E005-T000022,E005,E005-AS001,2026-08-02 05:00:00,EDR,1044,1000,ACTIVE
E005-T000023,E005,E005-AS001,2026-08-02 06:00:00,EDR,956,1000,ACTIVE
E005-T000024,E005,E005-AS001,2026-08-02 07:00:00,EDR,991,1000,ACTIVE
E005-T000025,E005,E005-AS001,2026-08-02 08:00:00,EDR,963,1000,ACTIVE
E005-T000026,E005,E005-AS001,2026-08-02 09:00:00,EDR,965,1000,ACTIVE
E005-T000027,E005,E005-AS001,2026-08-02 10:00:00,EDR,1089,1000,ACTIVE
E005-T000028,E005,E005-AS001,2026-08-02 11:00:00,EDR,910,1000,ACTIVE
E005-T000029,E005,E005-AS001,2026-08-02 12:00:00,EDR,1031,1000,ACTIVE
E005-T000030,E005,E005-AS001,2026-08-02 13:00:00,EDR,947,1000,ACTIVE
E005-T000031,E005,E005-AS001,2026-08-02 14:00:00,EDR,1065,1000,ACTIVE
E005-T000032,E005,E005-AS001,2026-08-02 15:00:00,EDR,1095,1000,ACTIVE
E005-T000033,E005,E005-AS001,2026-08-02 16:00:00,EDR,1061,1000,ACTIVE
E005-T000034,E005,E005-AS001,2026-08-02 17:00:00,EDR,949,1000,ACTIVE
E005-T000035,E005,E005-AS001,2026-08-02 18:00:00,EDR,1064,1000,ACTIVE
E005-T000036,E005,E005-AS001,2026-08-02 19:00:00,EDR,955,1000,ACTIVE
E005-T000037,E005,E005-AS001,2026-08-02 20:00:00,EDR,1091,1000,ACTIVE
E005-T000038,E005,E005-AS001,2026-08-02 21:00:00,EDR,1060,1000,ACTIVE
E005-T000039,E005,E005-AS001,2026-08-02 22:00:00,EDR,1097,1000,ACTIVE
E005-T000040,E005,E005-AS001,2026-08-02 23:00:00,EDR,969,1000,ACTIVE
E005-T000041,E005,E005-AS001,2026-08-03 00:00:00,EDR,914,1000,ACTIVE
E005-T000042,E005,E005-AS001,2026-08-03 01:00:00,EDR,1082,1000,ACTIVE
E005-T000043,E005,E005-AS001,2026-08-03 02:00:00,EDR,1054,1000,ACTIVE
E005-T000044,E005,E005-AS001,2026-08-03 03:00:00,EDR,976,1000,ACTIVE
E005-T000045,E005,E005-AS001,2026-08-03 04:00:00,EDR,936,1000,ACTIVE
E005-T000046,E005,E005-AS001,2026-08-03 05:00:00,EDR,1087,1000,ACTIVE
E005-T000047,E005,E005-AS001,2026-08-03 06:00:00,EDR,933,1000,ACTIVE
E005-T000048,E005,E005-AS001,2026-08-03 07:00:00,EDR,996,1000,ACTIVE
E005-T000049,E005,E005-AS002,2026-08-01 08:00:00,EDR,1015,1000,ACTIVE
E005-T000050,E005,E005-AS002,2026-08-01 09:00:00,EDR,994,1000,ACTIVE
E005-T000051,E005,E005-AS002,2026-08-01 10:00:00,EDR,1034,1000,ACTIVE
E005-T000052,E005,E005-AS002,2026-08-01 11:00:00,EDR,901,1000,ACTIVE
E005-T000053,E005,E005-AS002,2026-08-01 12:00:00,EDR,1086,1000,ACTIVE
E005-T000054,E005,E005-AS002,2026-08-01 13:00:00,EDR,975,1000,ACTIVE
E005-T000055,E005,E005-AS002,2026-08-01 14:00:00,EDR,963,1000,ACTIVE
E005-T000056,E005,E005-AS002,2026-08-01 15:00:00,EDR,1030,1000,ACTIVE
E005-T000057,E005,E005-AS002,2026-08-01 16:00:00,EDR,1068,1000,ACTIVE
E005-T000058,E005,E005-AS002,2026-08-01 17:00:00,EDR,1027,1000,ACTIVE
E005-T000059,E005,E005-AS002,2026-08-01 18:00:00,EDR,934,1000,ACTIVE
E005-T000060,E005,E005-AS002,2026-08-01 19:00:00,EDR,1025,1000,ACTIVE
E005-T000061,E005,E005-AS002,2026-08-01 20:00:00,EDR,900,1000,ACTIVE
E005-T000062,E005,E005-AS002,2026-08-01 21:00:00,EDR,947,1000,ACTIVE
E005-T000063,E005,E005-AS002,2026-08-01 22:00:00,EDR,1041,1000,ACTIVE
E005-T000064,E005,E005-AS002,2026-08-01 23:00:00,EDR,947,1000,ACTIVE
E005-T000065,E005,E005-AS002,2026-08-02 00:00:00,EDR,1010,1000,ACTIVE
E005-T000066,E005,E005-AS002,2026-08-02 01:00:00,EDR,985,1000,ACTIVE
E005-T000067,E005,E005-AS002,2026-08-02 02:00:00,EDR,997,1000,ACTIVE
E005-T000068,E005,E005-AS002,2026-08-02 03:00:00,EDR,1073,1000,ACTIVE
E005-T000069,E005,E005-AS002,2026-08-02 04:00:00,EDR,987,1000,ACTIVE
E005-T000070,E005,E005-AS002,2026-08-02 05:00:00,EDR,1057,1000,ACTIVE
E005-T000071,E005,E005-AS002,2026-08-02 06:00:00,EDR,1034,1000,ACTIVE
E005-T000072,E005,E005-AS002,2026-08-02 07:00:00,EDR,1065,1000,ACTIVE
E005-T000073,E005,E005-AS002,2026-08-02 08:00:00,EDR,904,1000,ACTIVE
E005-T000074,E005,E005-AS002,2026-08-02 09:00:00,EDR,1009,1000,ACTIVE
E005-T000075,E005,E005-AS002,2026-08-02 10:00:00,EDR,984,1000,ACTIVE
E005-T000076,E005,E005-AS002,2026-08-02 11:00:00,EDR,963,1000,ACTIVE
E005-T000077,E005,E005-AS002,2026-08-02 12:00:00,EDR,917,1000,ACTIVE
E005-T000078,E005,E005-AS002,2026-08-02 13:00:00,EDR,1077,1000,ACTIVE
E005-T000079,E005,E005-AS002,2026-08-02 14:00:00,EDR,985,1000,ACTIVE
E005-T000080,E005,E005-AS002,2026-08-02 15:00:00,EDR,956,1000,ACTIVE
E005-T000081,E005,E005-AS002,2026-08-02 16:00:00,EDR,980,1000,ACTIVE
E005-T000082,E005,E005-AS002,2026-08-02 17:00:00,EDR,1040,1000,ACTIVE
E005-T000083,E005,E005-AS002,2026-08-02 18:00:00,EDR,941,1000,ACTIVE
E005-T000084,E005,E005-AS002,2026-08-02 19:00:00,EDR,1029,1000,ACTIVE
E005-T000085,E005,E005-AS002,2026-08-02 20:00:00,EDR,930,1000,ACTIVE
E005-T000086,E005,E005-AS002,2026-08-02 21:00:00,EDR,948,1000,ACTIVE
E005-T000087,E005,E005-AS002,2026-08-02 22:00:00,EDR,957,1000,ACTIVE
E005-T000088,E005,E005-AS002,2026-08-02 23:00:00,EDR,1059,1000,ACTIVE
E005-T000089,E005,E005-AS002,2026-08-03 00:00:00,EDR,1051,1000,ACTIVE
E005-T000090,E005,E005-AS002,2026-08-03 01:00:00,EDR,937,1000,ACTIVE
E005-T000091,E005,E005-AS002,2026-08-03 02:00:00,EDR,939,1000,ACTIVE
E005-T000092,E005,E005-AS002,2026-08-03 03:00:00,EDR,947,1000,ACTIVE
E005-T000093,E005,E005-AS002,2026-08-03 04:00:00,EDR,1079,1000,ACTIVE
E005-T000094,E005,E005-AS002,2026-08-03 05:00:00,EDR,1012,1000,ACTIVE
E005-T000095,E005,E005-AS002,2026-08-03 06:00:00,EDR,1095,1000,ACTIVE
E005-T000096,E005,E005-AS002,2026-08-03 07:00:00,EDR,1017,1000,ACTIVE
E005-T000097,E005,E005-AS003,2026-08-01 08:00:00,EDR,998,1000,ACTIVE
E005-T000098,E005,E005-AS003,2026-08-01 09:00:00,EDR,1058,1000,ACTIVE
E005-T000099,E005,E005-AS003,2026-08-01 10:00:00,EDR,1063,1000,ACTIVE
E005-T000100,E005,E005-AS003,2026-08-01 11:00:00,EDR,908,1000,ACTIVE
E005-T000101,E005,E005-AS003,2026-08-01 12:00:00,EDR,1011,1000,ACTIVE
E005-T000102,E005,E005-AS003,2026-08-01 13:00:00,EDR,992,1000,ACTIVE
E005-T000103,E005,E005-AS003,2026-08-01 14:00:00,EDR,956,1000,ACTIVE
E005-T000104,E005,E005-AS003,2026-08-01 15:00:00,EDR,1042,1000,ACTIVE
E005-T000105,E005,E005-AS003,2026-08-01 16:00:00,EDR,903,1000,ACTIVE
E005-T000106,E005,E005-AS003,2026-08-01 17:00:00,EDR,1037,1000,ACTIVE
E005-T000107,E005,E005-AS003,2026-08-01 18:00:00,EDR,1025,1000,ACTIVE
E005-T000108,E005,E005-AS003,2026-08-01 19:00:00,EDR,931,1000,ACTIVE
E005-T000109,E005,E005-AS003,2026-08-01 20:00:00,EDR,1066,1000,ACTIVE
E005-T000110,E005,E005-AS003,2026-08-01 21:00:00,EDR,991,1000,ACTIVE
E005-T000111,E005,E005-AS003,2026-08-01 22:00:00,EDR,974,1000,ACTIVE
E005-T000112,E005,E005-AS003,2026-08-01 23:00:00,EDR,958,1000,ACTIVE
E005-T000113,E005,E005-AS003,2026-08-02 00:00:00,EDR,950,1000,ACTIVE
E005-T000114,E005,E005-AS003,2026-08-02 01:00:00,EDR,942,1000,ACTIVE
E005-T000115,E005,E005-AS003,2026-08-02 02:00:00,EDR,999,1000,ACTIVE
E005-T000116,E005,E005-AS003,2026-08-02 03:00:00,EDR,958,1000,ACTIVE
E005-T000117,E005,E005-AS003,2026-08-02 04:00:00,EDR,976,1000,ACTIVE
E005-T000118,E005,E005-AS003,2026-08-02 05:00:00,EDR,1037,1000,ACTIVE
E005-T000119,E005,E005-AS003,2026-08-02 06:00:00,EDR,999,1000,ACTIVE
E005-T000120,E005,E005-AS003,2026-08-02 07:00:00,EDR,914,1000,ACTIVE
E005-T000121,E005,E005-AS003,2026-08-02 08:00:00,EDR,916,1000,ACTIVE
E005-T000122,E005,E005-AS003,2026-08-02 09:00:00,EDR,975,1000,ACTIVE
E005-T000123,E005,E005-AS003,2026-08-02 10:00:00,EDR,1030,1000,ACTIVE
E005-T000124,E005,E005-AS003,2026-08-02 11:00:00,EDR,980,1000,ACTIVE
E005-T000125,E005,E005-AS003,2026-08-02 12:00:00,EDR,996,1000,ACTIVE
E005-T000126,E005,E005-AS003,2026-08-02 13:00:00,EDR,926,1000,ACTIVE
E005-T000127,E005,E005-AS003,2026-08-02 14:00:00,EDR,911,1000,ACTIVE
E005-T000128,E005,E005-AS003,2026-08-02 15:00:00,EDR,1049,1000,ACTIVE
E005-T000129,E005,E005-AS003,2026-08-02 16:00:00,EDR,1085,1000,ACTIVE
E005-T000130,E005,E005-AS003,2026-08-02 17:00:00,EDR,1047,1000,ACTIVE
E005-T000131,E005,E005-AS003,2026-08-02 18:00:00,EDR,973,1000,ACTIVE
E005-T000132,E005,E005-AS003,2026-08-02 19:00:00,EDR,1051,1000,ACTIVE
E005-T000133,E005,E005-AS003,2026-08-02 20:00:00,EDR,961,1000,ACTIVE
E005-T000134,E005,E005-AS003,2026-08-02 21:00:00,EDR,1005,1000,ACTIVE
E005-T000135,E005,E005-AS003,2026-08-02 22:00:00,EDR,986,1000,ACTIVE
E005-T000136,E005,E005-AS003,2026-08-02 23:00:00,EDR,965,1000,ACTIVE
E005-T000137,E005,E005-AS003,2026-08-03 00:00:00,EDR,1000,1000,ACTIVE
E005-T000138,E005,E005-AS003,2026-08-03 01:00:00,EDR,1097,1000,ACTIVE
E005-T000139,E005,E005-AS003,2026-08-03 02:00:00,EDR,960,1000,ACTIVE
E005-T000140,E005,E005-AS003,2026-08-03 03:00:00,EDR,967,1000,ACTIVE
E005-T000141,E005,E005-AS003,2026-08-03 04:00:00,EDR,1060,1000,ACTIVE
E005-T000142,E005,E005-AS003,2026-08-03 05:00:00,EDR,1049,1000,ACTIVE
E005-T000143,E005,E005-AS003,2026-08-03 06:00:00,EDR,1057,1000,ACTIVE
E005-T000144,E005,E005-AS003,2026-08-03 07:00:00,EDR,977,1000,ACTIVE
E005-T000145,E005,E005-AS004,2026-08-01 08:00:00,EDR,1049,1000,ACTIVE
E005-T000146,E005,E005-AS004,2026-08-01 09:00:00,EDR,993,1000,ACTIVE
E005-T000147,E005,E005-AS004,2026-08-01 10:00:00,EDR,1088,1000,ACTIVE
E005-T000148,E005,E005-AS004,2026-08-01 11:00:00,EDR,1040,1000,ACTIVE
E005-T000149,E005,E005-AS004,2026-08-01 12:00:00,EDR,962,1000,ACTIVE
E005-T000150,E005,E005-AS004,2026-08-01 13:00:00,EDR,991,1000,ACTIVE
E005-T000151,E005,E005-AS004,2026-08-01 14:00:00,EDR,1052,1000,ACTIVE
E005-T000152,E005,E005-AS004,2026-08-01 15:00:00,EDR,1036,1000,ACTIVE
E005-T000153,E005,E005-AS004,2026-08-01 16:00:00,EDR,954,1000,ACTIVE
E005-T000154,E005,E005-AS004,2026-08-01 17:00:00,EDR,934,1000,ACTIVE
E005-T000155,E005,E005-AS004,2026-08-01 18:00:00,EDR,1065,1000,ACTIVE
E005-T000156,E005,E005-AS004,2026-08-01 19:00:00,EDR,946,1000,ACTIVE
E005-T000157,E005,E005-AS004,2026-08-01 20:00:00,EDR,1042,1000,ACTIVE
E005-T000158,E005,E005-AS004,2026-08-01 21:00:00,EDR,958,1000,ACTIVE
E005-T000159,E005,E005-AS004,2026-08-01 22:00:00,EDR,1092,1000,ACTIVE
E005-T000160,E005,E005-AS004,2026-08-01 23:00:00,EDR,931,1000,ACTIVE
E005-T000161,E005,E005-AS004,2026-08-02 00:00:00,EDR,912,1000,ACTIVE
E005-T000162,E005,E005-AS004,2026-08-02 01:00:00,EDR,989,1000,ACTIVE
E005-T000163,E005,E005-AS004,2026-08-02 02:00:00,EDR,955,1000,ACTIVE
E005-T000164,E005,E005-AS004,2026-08-02 03:00:00,EDR,926,1000,ACTIVE
E005-T000165,E005,E005-AS004,2026-08-02 04:00:00,EDR,1009,1000,ACTIVE
E005-T000166,E005,E005-AS004,2026-08-02 05:00:00,EDR,948,1000,ACTIVE
E005-T000167,E005,E005-AS004,2026-08-02 06:00:00,EDR,927,1000,ACTIVE
E005-T000168,E005,E005-AS004,2026-08-02 07:00:00,EDR,1094,1000,ACTIVE
E005-T000169,E005,E005-AS004,2026-08-02 08:00:00,EDR,1021,1000,ACTIVE
E005-T000170,E005,E005-AS004,2026-08-02 09:00:00,EDR,989,1000,ACTIVE
E005-T000171,E005,E005-AS004,2026-08-02 10:00:00,EDR,1025,1000,ACTIVE
