alert_id,entity_id,asset_id,timestamp,severity,category,source,confidence,status,description
E004-A0048,E004,E004-AS011,2026-08-01 11:24:31,HIGH,MALWARE,EDR,0.88,IN_PROGRESS,Malware activity detected on telecom asset
E004-A0011,E004,E004-AS001,2026-08-01 14:10:13,CRITICAL,BRUTE_FORCE,IAM,0.88,RESOLVED,Repeated failed authentication activity on core network device
E004-A0005,E004,E004-AS001,2026-08-01 17:07:23,HIGH,BRUTE_FORCE,IAM,0.73,IN_PROGRESS,Repeated failed authentication activity on core network device
E004-A0036,E004,E004-AS011,2026-08-02 00:01:54,HIGH,BRUTE_FORCE,SIEM,0.75,CLOSED,Brute Force activity detected on telecom asset
E004-A0085,E004,E004-AS030,2026-08-02 06:43:28,MEDIUM,BRUTE_FORCE,IDS,0.98,IN_PROGRESS,Brute Force activity detected on telecom asset
E004-A0079,E004,E004-AS030,2026-08-02 06:47:53,HIGH,PHISHING,EMAIL_SECURITY,0.6,CLOSED,Phishing activity detected on telecom asset
E004-A0203,E004,E004-AS007,2026-08-02 13:33:56,HIGH,MALWARE,FIREWALL,0.67,RESOLVED,Malware activity detected on telecom asset
E004-A0197,E004,E004-AS004,2026-08-02 18:04:54,LOW,PHISHING,IDS,0.76,IN_PROGRESS,Phishing activity detected on telecom asset
E004-A0014,E004,E004-AS013,2026-08-02 18:56:13,HIGH,MALWARE,IAM,0.66,CLOSED,Malware activity detected on telecom asset
E004-A0112,E004,E004-AS015,2026-08-02 21:22:56,LOW,PHISHING,IDS,0.6,IN_PROGRESS,Phishing activity detected on telecom asset
E004-A0163,E004,E004-AS027,2026-08-03 01:46:38,HIGH,NETWORK_ANOMALY,EMAIL_SECURITY,0.72,CLOSED,Network Anomaly activity detected on telecom asset
E004-A0120,E004,E004-AS011,2026-08-03 04:26:28,HIGH,RANSOMWARE,EMAIL_SECURITY,0.67,OPEN,Ransomware activity detected on telecom asset
E004-A0109,E004,E004-AS009,2026-08-03 07:34:06,MEDIUM,BRUTE_FORCE,IDS,0.63,RESOLVED,Brute Force activity detected on telecom asset
E004-A0043,E004,E004-AS013,2026-08-03 09:53:53,CRITICAL,PHISHING,FIREWALL,0.86,CLOSED,Phishing activity detected on telecom asset
E004-A0198,E004,E004-AS021,2026-08-03 14:51:14,LOW,NETWORK_ANOMALY,FIREWALL,0.9,OPEN,Network Anomaly activity detected on telecom asset
E004-A0155,E004,E004-AS010,2026-08-04 00:10:47,MEDIUM,MALWARE,IAM,0.71,CLOSED,Malware activity detected on telecom asset
E004-A0010,E004,E004-AS001,2026-08-04 01:02:54,CRITICAL,BRUTE_FORCE,IAM,0.83,OPEN,Repeated failed authentication activity on core network device
E004-A0090,E004,E004-AS019,2026-08-04 07:11:47,LOW,NETWORK_ANOMALY,SIEM,0.59,CLOSED,Network Anomaly activity detected on telecom asset
E004-A0116,E004,E004-AS011,2026-08-04 08:29:15,LOW,RANSOMWARE,EDR,0.94,CLOSED,Ransomware activity detected on telecom asset
E004-A0077,E004,E004-AS024,2026-08-04 09:44:28,CRITICAL,MALWARE,IAM,0.83,CLOSED,Malware activity detected on telecom asset
E004-A0091,E004,E004-AS014,2026-08-04 10:31:30,LOW,PRIVILEGE_ESCALATION,IDS,0.65,OPEN,Privilege Escalation activity detected on telecom asset
E004-A0029,E004,E004-AS026,2026-08-04 11:36:17,HIGH,PRIVILEGE_ESCALATION,EDR,0.7,IN_PROGRESS,Privilege Escalation activity detected on telecom asset
E004-A0196,E004,E004-AS008,2026-08-04 13:40:27,LOW,BRUTE_FORCE,EMAIL_SECURITY,0.79,CLOSED,Brute Force activity detected on telecom asset
E004-A0140,E004,E004-AS009,2026-08-04 13:49:50,HIGH,NETWORK_ANOMALY,SIEM,0.86,CLOSED,Network Anomaly activity detected on telecom asset
