case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
E004-C0001,E004-A0005,E004,AN08,2026-08-01 17:16:23,2026-08-01 21:13:23,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0002,E004-A0036,E004,AN02,2026-08-02 00:12:54,2026-08-02 05:17:54,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0003,E004-A0203,E004,AN04,2026-08-02 13:40:56,2026-08-02 18:06:56,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0004,E004-A0197,E004,AN01,2026-08-02 18:15:54,2026-08-02 20:29:54,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0005,E004-A0109,E004,AN03,2026-08-03 07:42:06,2026-08-03 12:09:06,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0006,E004-A0010,E004,AN02,2026-08-04 01:14:54,2026-08-04 01:17:54,CLOSED,CONTAINED,Critical case closed unusually quickly
E004-C0007,E004-A0077,E004,AN02,2026-08-04 09:52:28,2026-08-04 09:55:28,CLOSED,TRUE_POSITIVE,Critical case closed unusually quickly
E004-C0008,E004-A0029,E004,AN04,2026-08-04 11:40:17,2026-08-04 14:34:17,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0009,E004-A0140,E004,AN06,2026-08-04 13:55:50,2026-08-04 18:54:50,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0010,E004-A0193,E004,AN07,2026-08-05 23:43:32,2026-08-06 04:49:32,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0011,E004-A0015,E004,AN06,2026-08-05 23:39:34,2026-08-06 04:50:34,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0012,E004-A0142,E004,AN03,2026-08-06 01:03:46,2026-08-06 05:48:46,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0013,E004-A0075,E004,AN08,2026-08-06 03:39:22,2026-08-06 05:56:22,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0014,E004-A0022,E004,AN06,2026-08-06 13:00:36,2026-08-06 18:25:36,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0015,E004-A0078,E004,AN08,2026-08-06 19:33:42,2026-08-06 19:36:42,CLOSED,CONTAINED,Critical case closed unusually quickly
E004-C0016,E004-A0201,E004,AN04,2026-08-06 22:41:46,2026-08-07 04:20:46,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
