scenario_id,entity_id,case_id,asset_id,problem_type,expected_detection
S01_01,E004,E004-C0001,E004-AS001,MISSING_INVESTIGATION,true
S01_02,E004,E004-C0002,E004-AS011,MISSING_INVESTIGATION,true
S01_03,E004,E004-C0003,E004-AS007,MISSING_INVESTIGATION,true
S01_04,E004,E004-C0006,E004-AS001,MISSING_INVESTIGATION,true
S01_05,E004,E004-C0007,E004-AS024,MISSING_INVESTIGATION,true
S02_01,E004,E004-C0008,E004-AS026,MISSING_EVIDENCE,true
S02_02,E004,E004-C0009,E004-AS009,MISSING_EVIDENCE,true
S02_03,E004,E004-C0011,E004-AS028,MISSING_EVIDENCE,true
S02_04,E004,E004-C0013,E004-AS030,MISSING_EVIDENCE,true
S02_05,E004,E004-C0014,E004-AS022,MISSING_EVIDENCE,true
S02_06,E004,E004-C0015,E004-AS021,MISSING_EVIDENCE,true
S02_07,E004,E004-C0017,E004-AS007,MISSING_EVIDENCE,true
S02_08,E004,E004-C0018,E004-AS002,MISSING_EVIDENCE,true
S03_01,E004,E004-C0031,E004-AS001,MISSING_ESCALATION,true
S03_02,E004,E004-C0032,E004-AS027,MISSING_ESCALATION,true
S03_03,E004,E004-C0033,E004-AS030,MISSING_ESCALATION,true
S03_04,E004,E004-C0034,E004-AS001,MISSING_ESCALATION,true
S03_05,E004,E004-C0035,E004-AS001,MISSING_ESCALATION,true
S03_06,E004,E004-C0036,E004-AS024,MISSING_ESCALATION,true
S03_07,E004,E004-C0041,E004-AS015,MISSING_ESCALATION,true
S04_01,E004,E004-C0006,E004-AS001,FAST_CRITICAL_CLOSURE,true
S04_02,E004,E004-C0007,E004-AS024,FAST_CRITICAL_CLOSURE,true
S04_03,E004,E004-C0015,E004-AS021,FAST_CRITICAL_CLOSURE,true
S04_04,E004,E004-C0017,E004-AS007,FAST_CRITICAL_CLOSURE,true
S04_05,E004,E004-C0019,E004-AS019,FAST_CRITICAL_CLOSURE,true
S05_01,E004,,E004-AS003,TELEMETRY_BLIND_SPOT,true
S06_01,E004,E004-C0019,E004-AS019,REPETITIVE_INVESTIGATION,true
S06_02,E004,E004-C0020,E004-AS005,REPETITIVE_INVESTIGATION,true
S06_03,E004,E004-C0021,E004-AS011,REPETITIVE_INVESTIGATION,true
S06_04,E004,E004-C0022,E004-AS017,REPETITIVE_INVESTIGATION,true
S06_05,E004,E004-C0023,E004-AS013,REPETITIVE_INVESTIGATION,true
S06_06,E004,E004-C0024,E004-AS025,REPETITIVE_INVESTIGATION,true
S07_01,E004,E004-C0001,E004-AS001,REPEAT_INCIDENT,true
S07_02,E004,E004-C0006,E004-AS001,REPEAT_INCIDENT,true
S07_03,E004,E004-C0031,E004-AS001,REPEAT_INCIDENT,true
S07_04,E004,E004-C0034,E004-AS001,REPEAT_INCIDENT,true
S08_01,E004,E004-C0083,E004-AS013,KPI_GAMING_PATTERN,true
S08_02,E004,E004-C0090,E004-AS027,KPI_GAMING_PATTERN,true
S08_03,E004,E004-C0093,E004-AS030,KPI_GAMING_PATTERN,true
S08_04,E004,E004-C0094,E004-AS005,KPI_GAMING_PATTERN,true
