telemetry_id,entity_id,asset_id,timestamp,source_type,event_count,expected_event_count,status
E004-T000001,E004,E004-AS001,2026-08-01 08:00:00,SNMP,880,971,ACTIVE
E004-T000002,E004,E004-AS002,2026-08-01 08:00:00,NETFLOW,1003,1048,ACTIVE
E004-T000003,E004,E004-AS003,2026-08-01 08:00:00,SYSLOG,961,995,ACTIVE
E004-T000004,E004,E004-AS004,2026-08-01 08:00:00,SIEM,990,917,ACTIVE
E004-T000005,E004,E004-AS005,2026-08-01 08:00:00,IDS,924,921,ACTIVE
E004-T000006,E004,E004-AS006,2026-08-01 08:00:00,SNMP,877,936,ACTIVE
E004-T000007,E004,E004-AS007,2026-08-01 08:00:00,NETFLOW,837,1000,DEGRADED
E004-T000008,E004,E004-AS008,2026-08-01 08:00:00,SYSLOG,1170,1094,ACTIVE
E004-T000009,E004,E004-AS009,2026-08-01 08:00:00,SIEM,586,1031,DEGRADED
E004-T000010,E004,E004-AS010,2026-08-01 08:00:00,IDS,1051,1018,ACTIVE
E004-T000011,E004,E004-AS011,2026-08-01 08:00:00,SNMP,905,976,ACTIVE
E004-T000012,E004,E004-AS012,2026-08-01 08:00:00,NETFLOW,817,990,DEGRADED
E004-T000013,E004,E004-AS013,2026-08-01 08:00:00,SYSLOG,1046,1095,ACTIVE
E004-T000014,E004,E004-AS014,2026-08-01 08:00:00,SIEM,873,903,DELAYED
E004-T000015,E004,E004-AS015,2026-08-01 08:00:00,IDS,909,937,ACTIVE
E004-T000016,E004,E004-AS016,2026-08-01 08:00:00,SNMP,858,1060,DEGRADED
E004-T000017,E004,E004-AS017,2026-08-01 08:00:00,NETFLOW,986,1084,ACTIVE
E004-T000018,E004,E004-AS018,2026-08-01 08:00:00,SYSLOG,875,917,ACTIVE
E004-T000019,E004,E004-AS019,2026-08-01 08:00:00,SIEM,986,1081,ACTIVE
E004-T000020,E004,E004-AS020,2026-08-01 08:00:00,IDS,1010,1039,ACTIVE
E004-T000021,E004,E004-AS021,2026-08-01 08:00:00,SNMP,1024,952,ACTIVE
E004-T000022,E004,E004-AS022,2026-08-01 08:00:00,NETFLOW,1075,1024,ACTIVE
E004-T000023,E004,E004-AS023,2026-08-01 08:00:00,SYSLOG,980,915,ACTIVE
E004-T000024,E004,E004-AS024,2026-08-01 08:00:00,SIEM,913,954,ACTIVE
E004-T000025,E004,E004-AS025,2026-08-01 08:00:00,IDS,957,1034,ACTIVE
E004-T000026,E004,E004-AS026,2026-08-01 08:00:00,SNMP,1139,1064,ACTIVE
E004-T000027,E004,E004-AS027,2026-08-01 08:00:00,NETFLOW,728,1047,DEGRADED
E004-T000028,E004,E004-AS028,2026-08-01 08:00:00,SYSLOG,613,948,DEGRADED
E004-T000029,E004,E004-AS029,2026-08-01 08:00:00,SIEM,949,1008,DELAYED
E004-T000030,E004,E004-AS030,2026-08-01 08:00:00,IDS,1024,940,ACTIVE
E004-T000031,E004,E004-AS001,2026-08-01 09:00:00,SNMP,1081,1065,ACTIVE
E004-T000032,E004,E004-AS002,2026-08-01 09:00:00,NETFLOW,936,909,ACTIVE
E004-T000033,E004,E004-AS003,2026-08-01 09:00:00,SYSLOG,982,919,ACTIVE
E004-T000034,E004,E004-AS004,2026-08-01 09:00:00,SIEM,947,1033,ACTIVE
E004-T000035,E004,E004-AS005,2026-08-01 09:00:00,IDS,1142,1044,ACTIVE
E004-T000036,E004,E004-AS006,2026-08-01 09:00:00,SNMP,832,920,ACTIVE
E004-T000037,E004,E004-AS007,2026-08-01 09:00:00,NETFLOW,974,1078,ACTIVE
E004-T000038,E004,E004-AS008,2026-08-01 09:00:00,SYSLOG,1117,1058,ACTIVE
E004-T000039,E004,E004-AS009,2026-08-01 09:00:00,SIEM,991,917,ACTIVE
E004-T000040,E004,E004-AS010,2026-08-01 09:00:00,IDS,964,935,ACTIVE
E004-T000041,E004,E004-AS011,2026-08-01 09:00:00,SNMP,874,921,ACTIVE
E004-T000042,E004,E004-AS012,2026-08-01 09:00:00,NETFLOW,937,939,ACTIVE
E004-T000043,E004,E004-AS013,2026-08-01 09:00:00,SYSLOG,956,951,ACTIVE
E004-T000044,E004,E004-AS014,2026-08-01 09:00:00,SIEM,758,971,DEGRADED
E004-T000045,E004,E004-AS015,2026-08-01 09:00:00,IDS,1076,1086,ACTIVE
E004-T000046,E004,E004-AS016,2026-08-01 09:00:00,SNMP,1067,1024,ACTIVE
E004-T000047,E004,E004-AS017,2026-08-01 09:00:00,NETFLOW,1144,1097,ACTIVE
E004-T000048,E004,E004-AS018,2026-08-01 09:00:00,SYSLOG,1012,1075,ACTIVE
E004-T000049,E004,E004-AS019,2026-08-01 09:00:00,SIEM,1066,981,ACTIVE
E004-T000050,E004,E004-AS020,2026-08-01 09:00:00,IDS,987,967,ACTIVE
E004-T000051,E004,E004-AS021,2026-08-01 09:00:00,SNMP,787,1089,DEGRADED
E004-T000052,E004,E004-AS022,2026-08-01 09:00:00,NETFLOW,831,915,ACTIVE
E004-T000053,E004,E004-AS023,2026-08-01 09:00:00,SYSLOG,1183,1084,ACTIVE
E004-T000054,E004,E004-AS024,2026-08-01 09:00:00,SIEM,1107,1034,ACTIVE
E004-T000055,E004,E004-AS025,2026-08-01 09:00:00,IDS,1083,1010,ACTIVE
E004-T000056,E004,E004-AS026,2026-08-01 09:00:00,SNMP,935,925,ACTIVE
E004-T000057,E004,E004-AS027,2026-08-01 09:00:00,NETFLOW,979,943,ACTIVE
E004-T000058,E004,E004-AS028,2026-08-01 09:00:00,SYSLOG,903,972,ACTIVE
E004-T000059,E004,E004-AS029,2026-08-01 09:00:00,SIEM,1016,1017,ACTIVE
E004-T000060,E004,E004-AS030,2026-08-01 09:00:00,IDS,1040,1074,ACTIVE
E004-T000061,E004,E004-AS001,2026-08-01 10:00:00,SNMP,778,938,DELAYED
E004-T000062,E004,E004-AS002,2026-08-01 10:00:00,NETFLOW,914,983,DELAYED
E004-T000063,E004,E004-AS003,2026-08-01 10:00:00,SYSLOG,1016,1041,ACTIVE
E004-T000064,E004,E004-AS004,2026-08-01 10:00:00,SIEM,953,1026,ACTIVE
E004-T000065,E004,E004-AS005,2026-08-01 10:00:00,IDS,945,986,ACTIVE
E004-T000066,E004,E004-AS006,2026-08-01 10:00:00,SNMP,928,924,ACTIVE
E004-T000067,E004,E004-AS007,2026-08-01 10:00:00,NETFLOW,969,1076,ACTIVE
E004-T000068,E004,E004-AS008,2026-08-01 10:00:00,SYSLOG,910,912,ACTIVE
E004-T000069,E004,E004-AS009,2026-08-01 10:00:00,SIEM,615,979,DEGRADED
E004-T000070,E004,E004-AS010,2026-08-01 10:00:00,IDS,1093,1076,ACTIVE
E004-T000071,E004,E004-AS011,2026-08-01 10:00:00,SNMP,1023,1006,ACTIVE
E004-T000072,E004,E004-AS012,2026-08-01 10:00:00,NETFLOW,939,918,ACTIVE
E004-T000073,E004,E004-AS013,2026-08-01 10:00:00,SYSLOG,1124,1096,ACTIVE
E004-T000074,E004,E004-AS014,2026-08-01 10:00:00,SIEM,1012,949,ACTIVE
E004-T000075,E004,E004-AS015,2026-08-01 10:00:00,IDS,869,946,ACTIVE
E004-T000076,E004,E004-AS016,2026-08-01 10:00:00,SNMP,1020,1090,ACTIVE
E004-T000077,E004,E004-AS017,2026-08-01 10:00:00,NETFLOW,1067,1059,ACTIVE
E004-T000078,E004,E004-AS018,2026-08-01 10:00:00,SYSLOG,1061,1064,ACTIVE
E004-T000079,E004,E004-AS019,2026-08-01 10:00:00,SIEM,1070,1051,ACTIVE
E004-T000080,E004,E004-AS020,2026-08-01 10:00:00,IDS,1176,1074,ACTIVE
E004-T000081,E004,E004-AS021,2026-08-01 10:00:00,SNMP,1134,1064,ACTIVE
E004-T000082,E004,E004-AS022,2026-08-01 10:00:00,NETFLOW,1108,1042,ACTIVE
E004-T000083,E004,E004-AS023,2026-08-01 10:00:00,SYSLOG,1067,1053,ACTIVE
E004-T000084,E004,E004-AS024,2026-08-01 10:00:00,SIEM,1027,989,ACTIVE
E004-T000085,E004,E004-AS025,2026-08-01 10:00:00,IDS,788,950,DEGRADED
E004-T000086,E004,E004-AS026,2026-08-01 10:00:00,SNMP,985,908,ACTIVE
E004-T000087,E004,E004-AS027,2026-08-01 10:00:00,NETFLOW,843,915,ACTIVE
E004-T000088,E004,E004-AS028,2026-08-01 10:00:00,SYSLOG,942,926,ACTIVE
E004-T000089,E004,E004-AS029,2026-08-01 10:00:00,SIEM,1074,1023,ACTIVE
E004-T000090,E004,E004-AS030,2026-08-01 10:00:00,IDS,777,1006,DEGRADED
E004-T000091,E004,E004-AS001,2026-08-01 11:00:00,SNMP,864,943,ACTIVE
E004-T000092,E004,E004-AS002,2026-08-01 11:00:00,NETFLOW,1083,1083,ACTIVE
E004-T000093,E004,E004-AS003,2026-08-01 11:00:00,SYSLOG,988,1042,ACTIVE
E004-T000094,E004,E004-AS004,2026-08-01 11:00:00,SIEM,840,908,ACTIVE
E004-T000095,E004,E004-AS005,2026-08-01 11:00:00,IDS,928,935,ACTIVE
E004-T000096,E004,E004-AS006,2026-08-01 11:00:00,SNMP,1097,1078,ACTIVE
E004-T000097,E004,E004-AS007,2026-08-01 11:00:00,NETFLOW,991,901,ACTIVE
E004-T000098,E004,E004-AS008,2026-08-01 11:00:00,SYSLOG,1140,1085,ACTIVE
E004-T000099,E004,E004-AS009,2026-08-01 11:00:00,SIEM,1099,1047,ACTIVE
E004-T000100,E004,E004-AS010,2026-08-01 11:00:00,IDS,1106,1071,ACTIVE
E004-T000101,E004,E004-AS011,2026-08-01 11:00:00,SNMP,992,1086,ACTIVE
E004-T000102,E004,E004-AS012,2026-08-01 11:00:00,NETFLOW,969,975,ACTIVE
E004-T000103,E004,E004-AS013,2026-08-01 11:00:00,SYSLOG,1047,956,ACTIVE
E004-T000104,E004,E004-AS014,2026-08-01 11:00:00,SIEM,978,920,ACTIVE
E004-T000105,E004,E004-AS015,2026-08-01 11:00:00,IDS,930,1026,ACTIVE
E004-T000106,E004,E004-AS016,2026-08-01 11:00:00,SNMP,1011,1000,ACTIVE
E004-T000107,E004,E004-AS017,2026-08-01 11:00:00,NETFLOW,1136,1031,ACTIVE
E004-T000108,E004,E004-AS018,2026-08-01 11:00:00,SYSLOG,1161,1071,ACTIVE
E004-T000109,E004,E004-AS019,2026-08-01 11:00:00,SIEM,889,914,ACTIVE
E004-T000110,E004,E004-AS020,2026-08-01 11:00:00,IDS,981,984,ACTIVE
E004-T000111,E004,E004-AS021,2026-08-01 11:00:00,SNMP,986,958,ACTIVE
E004-T000112,E004,E004-AS022,2026-08-01 11:00:00,NETFLOW,871,953,ACTIVE
E004-T000113,E004,E004-AS023,2026-08-01 11:00:00,SYSLOG,839,925,ACTIVE
E004-T000114,E004,E004-AS024,2026-08-01 11:00:00,SIEM,1179,1084,ACTIVE
E004-T000115,E004,E004-AS025,2026-08-01 11:00:00,IDS,887,900,ACTIVE
E004-T000116,E004,E004-AS026,2026-08-01 11:00:00,SNMP,974,947,ACTIVE
E004-T000117,E004,E004-AS027,2026-08-01 11:00:00,NETFLOW,942,949,ACTIVE
E004-T000118,E004,E004-AS028,2026-08-01 11:00:00,SYSLOG,993,1072,ACTIVE
E004-T000119,E004,E004-AS029,2026-08-01 11:00:00,SIEM,943,915,ACTIVE
E004-T000120,E004,E004-AS030,2026-08-01 11:00:00,IDS,1087,1026,ACTIVE
E004-T000121,E004,E004-AS001,2026-08-01 12:00:00,SNMP,934,951,ACTIVE
E004-T000122,E004,E004-AS002,2026-08-01 12:00:00,NETFLOW,1025,1070,ACTIVE
E004-T000123,E004,E004-AS003,2026-08-01 12:00:00,SYSLOG,1188,1097,ACTIVE
E004-T000124,E004,E004-AS004,2026-08-01 12:00:00,SIEM,927,1066,DELAYED
