alert_id,entity_id,asset_id,timestamp,severity,category,source,confidence,status,description
E005-A0001,E005,E005-AS011,2026-08-01 10:07:00,LOW,SUSPICIOUS_LOGIN,EMAIL_SECURITY,0.79,CLOSED,Multiple suspicious logins
E005-A0002,E005,E005-AS030,2026-08-01 12:19:00,LOW,MALWARE,EDR,0.58,CLOSED,Potential malicious executable
E005-A0003,E005,E005-AS021,2026-08-01 14:29:00,MEDIUM,PRIVILEGE_ESCALATION,SIEM,0.57,CLOSED,Unusual privilege escalation
E005-A0004,E005,E005-AS029,2026-08-01 16:39:00,LOW,MALWARE,SIEM,0.46,CLOSED,Potential malicious executable
E005-A0005,E005,E005-AS005,2026-08-01 18:31:00,LOW,SUSPICIOUS_LOGIN,SIEM,0.66,CLOSED,Multiple suspicious logins
E005-A0006,E005,E005-AS003,2026-08-01 20:15:00,CRITICAL,SUSPICIOUS_LOGIN,SIEM,0.8,CLOSED,Multiple suspicious logins
E005-A0007,E005,E005-AS025,2026-08-01 22:24:00,MEDIUM,SUSPICIOUS_LOGIN,EMAIL_SECURITY,0.85,CLOSED,Multiple suspicious logins
E005-A0008,E005,E005-AS008,2026-08-02 00:07:00,HIGH,PRIVILEGE_ESCALATION,EMAIL_SECURITY,0.51,CLOSED,Unusual privilege escalation
E005-A0009,E005,E005-AS007,2026-08-02 02:24:00,MEDIUM,PHISHING,SIEM,0.5,CLOSED,Phishing email delivered
E005-A0010,E005,E005-AS027,2026-08-02 04:07:00,LOW,DATA_EXFILTRATION,IAM,0.68,CLOSED,Unusual outbound data transfer
E005-A0011,E005,E005-AS007,2026-08-02 06:29:00,CRITICAL,PRIVILEGE_ESCALATION,SIEM,0.95,CLOSED,Unusual privilege escalation
E005-A0012,E005,E005-AS019,2026-08-02 08:17:00,CRITICAL,MALWARE,EDR,0.74,CLOSED,Potential malicious executable
E005-A0013,E005,E005-AS019,2026-08-02 10:26:00,HIGH,RANSOMWARE,EDR,0.49,CLOSED,Ransomware activity
E005-A0014,E005,E005-AS005,2026-08-02 12:04:00,MEDIUM,RANSOMWARE,IDS,0.94,CLOSED,Ransomware activity
E005-A0015,E005,E005-AS027,2026-08-02 14:25:00,CRITICAL,PHISHING,IAM,0.84,CLOSED,Phishing email delivered
E005-A0016,E005,E005-AS022,2026-08-02 16:23:00,LOW,MALWARE,IAM,0.95,CLOSED,Potential malicious executable
E005-A0017,E005,E005-AS020,2026-08-02 18:27:00,MEDIUM,SUSPICIOUS_LOGIN,EMAIL_SECURITY,0.58,CLOSED,Multiple suspicious logins
E005-A0018,E005,E005-AS002,2026-08-02 20:23:00,MEDIUM,BRUTE_FORCE,EMAIL_SECURITY,0.91,CLOSED,Repeated failed logins
E005-A0019,E005,E005-AS018,2026-08-02 22:39:00,CRITICAL,PHISHING,EDR,0.86,CLOSED,Phishing email delivered
