case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
E005-C0001,E005-A0001,E005,AN01,2026-08-01 10:41:00,2026-08-01 12:27:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0002,E005-A0002,E005,AN01,2026-08-01 12:30:00,2026-08-01 15:01:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0003,E005-A0003,E005,AN01,2026-08-01 14:45:00,2026-08-01 15:47:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0004,E005-A0004,E005,AN01,2026-08-01 16:24:00,2026-08-01 17:51:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0005,E005-A0005,E005,AN01,2026-08-01 18:35:00,2026-08-01 20:45:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0006,E005-A0006,E005,AN01,2026-08-01 20:17:00,2026-08-01 22:34:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0007,E005-A0007,E005,AN01,2026-08-01 22:38:00,2026-08-02 01:28:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0008,E005-A0008,E005,AN01,2026-08-02 00:44:00,2026-08-02 03:41:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0009,E005-A0009,E005,AN01,2026-08-02 02:24:00,2026-08-02 03:29:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0010,E005-A0010,E005,AN01,2026-08-02 04:35:00,2026-08-02 06:50:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0011,E005-A0011,E005,AN01,2026-08-02 06:46:00,2026-08-02 07:49:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0012,E005-A0012,E005,AN01,2026-08-02 08:28:00,2026-08-02 11:09:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0013,E005-A0013,E005,AN01,2026-08-02 10:19:00,2026-08-02 12:10:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0014,E005-A0014,E005,AN01,2026-08-02 12:19:00,2026-08-02 14:39:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0015,E005-A0015,E005,AN01,2026-08-02 14:43:00,2026-08-02 16:11:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0016,E005-A0016,E005,AN01,2026-08-02 16:48:00,2026-08-02 19:43:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0017,E005-A0017,E005,AN01,2026-08-02 18:34:00,2026-08-02 20:18:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0018,E005-A0018,E005,AN01,2026-08-02 20:22:00,2026-08-02 22:32:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0019,E005-A0019,E005,AN01,2026-08-02 22:16:00,2026-08-03 01:08:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0020,E005-A0020,E005,AN01,2026-08-03 00:09:00,2026-08-03 02:19:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0021,E005-A0021,E005,AN01,2026-08-03 02:22:00,2026-08-03 02:24:00,CLOSED,TRUE_POSITIVE,Threat mitigated
E005-C0022,E005-A0022,E005,AN01,2026-08-03 04:38:00,2026-08-03 05:53:00,CLOSED,TRUE_POSITIVE,Threat mitigated
