scenario_id,entity_id,case_id,asset_id,problem_type,expected_detection
S01,E005,E005-C0006,E005-AS003,MISSING_INVESTIGATION,True
S02,E005,E005-C0011,E005-AS007,MISSING_EVIDENCE,True
S03,E005,E005-C0016,E005-AS022,MISSING_ESCALATION,True
S04,E005,E005-C0021,E005-AS027,FAST_CRITICAL_CLOSURE,True
S05,E005,,E005-AS001,TELEMETRY_BLIND_SPOT,True
S06,E005,E005-C0031,E005-AS017,REPETITIVE_INVESTIGATION,True
S06-2,E005,E005-C0032,E005-AS014,REPETITIVE_INVESTIGATION,True
S06-3,E005,E005-C0033,E005-AS020,REPETITIVE_INVESTIGATION,True
S07,E005,,E005-AS025,REPEAT_INCIDENT,True
S08,E005,E005-C0041,E005-AS014,KPI_GAMING_PATTERN,True
